customer_id,customer_name,customer_segment,country,kyc_risk,pep_flag,expected_monthly_volume,total_alerts,escalated_alerts,total_alerted_amount,avg_alert_risk,unique_risk_categories,unique_risk_drivers,total_transactions,total_transaction_amount,high_risk_geo_transactions,unique_counterparties,repeat_alert_flag,multi_risk_flag,high_risk_geo_ratio,financial_crime_risk_score,financial_crime_risk_level
CUST10019,Customer 0020,Small Business,United States,Medium,0,27030.33,0.0,0.0,0.0,0.0,0.0,0.0,33,365627.1,19,33,0,0,0.5757575757575758,24.0,Low
CUST10020,Customer 0021,Consumer,China,Low,0,3415.87,0.0,0.0,0.0,0.0,0.0,0.0,30,225019.63,9,30,0,0,0.3,17.0,Low
CUST10021,Customer 0022,Consumer,United Arab Emirates,Medium,0,35970.02,2.0,1.0,48247.41,45.0,2.0,2.0,13,88095.89,6,13,0,1,0.46153846153846156,52.0,Moderate
CUST10022,Customer 0023,Consumer,United States,Low,0,20575.42,2.0,1.0,40025.94,61.5,1.0,2.0,22,148930.35,10,22,0,0,0.45454545454545453,30.0,Moderate
CUST10023,Customer 0024,Consumer,Nigeria,Low,0,9431.03,1.0,0.0,48992.21,52.0,1.0,1.0,15,138930.68,4,15,0,0,0.26666666666666666,19.7,Low
CUST10024,Customer 0025,Consumer,Canada,Medium,0,8559.3,2.0,1.0,120809.18,47.5,1.0,2.0,23,284664.89,8,23,0,0,0.34782608695652173,37.0,Moderate
CUST10025,Customer 0026,Small Business,Turkey,Low,0,31609.44,1.0,0.0,48029.79,69.0,1.0,1.0,37,634322.75,12,37,0,0,0.32432432432432434,21.0,Low
CUST10026,Customer 0027,Consumer,United Arab Emirates,Medium,0,3442.13,1.0,0.0,59079.3,32.0,1.0,1.0,36,384416.66,14,36,0,0,0.3888888888888889,28.0,Low
CUST10027,Customer 0028,Consumer,United States,Low,0,4035.9,2.0,1.0,72557.48,70.5,2.0,2.0,24,280832.15,11,24,0,1,0.4583333333333333,45.0,Moderate
CUST10028,Customer 0029,Consumer,United States,High,0,12944.37,0.0,0.0,0.0,0.0,0.0,0.0,38,282583.25,19,38,0,0,0.5,32.0,Moderate
CUST10029,Customer 0030,Consumer,United States,Low,0,22871.67,3.0,1.0,56940.36,70.66666666666667,3.0,3.0,31,339079.12,14,31,1,1,0.45161290322580644,59.0,Moderate
CUST10030,Customer 0031,Consumer,United States,High,0,15840.99,2.0,2.0,20073.45,85.0,1.0,2.0,27,247575.74,12,27,0,0,0.4444444444444444,50.0,Moderate
CUST10031,Customer 0032,Consumer,United States,High,0,9170.94,4.0,2.0,183377.43,46.5,3.0,4.0,19,257725.63,10,19,1,1,0.5263157894736842,83.0,Critical
CUST10032,Customer 0033,Consumer,United States,Low,0,36863.85,2.0,0.0,89878.6,62.0,2.0,2.0,26,241834.86,8,26,0,1,0.3076923076923077,40.0,Moderate
CUST10033,Customer 0034,Small Business,United States,Medium,0,25549.73,2.0,1.0,66193.9,51.0,2.0,2.0,25,282606.64,10,25,0,1,0.4,52.0,Moderate
CUST10034,Customer 0035,Consumer,China,Low,0,3080.71,1.0,0.0,8902.09,37.0,1.0,1.0,20,169412.76,9,19,0,0,0.45,21.0,Low
CUST10035,Customer 0036,Consumer,United States,Low,0,8811.81,0.0,0.0,0.0,0.0,0.0,0.0,21,285693.0,8,21,0,0,0.38095238095238093,17.0,Low
CUST10036,Customer 0037,Small Business,United States,Low,0,9023.02,1.0,0.0,46861.35,70.0,1.0,1.0,29,281825.06,12,29,0,0,0.41379310344827586,21.0,Low
CUST10037,Customer 0038,Consumer,United States,Low,0,12169.99,1.0,0.0,39603.14,55.0,1.0,1.0,23,255223.68,9,23,0,0,0.391304347826087,21.0,Low
CUST10038,Customer 0039,Consumer,United States,Medium,0,12468.72,1.0,1.0,13903.69,79.0,1.0,1.0,21,197665.48,10,21,0,0,0.47619047619047616,33.0,Moderate
CUST10039,Customer 0040,Consumer,Mexico,Low,0,20285.5,3.0,1.0,89561.41,46.0,3.0,3.0,31,342671.87,15,31,1,1,0.4838709677419355,59.0,Moderate
CUST10040,Customer 0041,Consumer,United States,Low,0,7939.26,0.0,0.0,0.0,0.0,0.0,0.0,24,258515.55,6,24,0,0,0.25,15.0,Low
CUST10041,Customer 0042,Commercial,United States,High,0,1024.35,3.0,0.0,24879.549999999996,44.333333333333336,1.0,3.0,26,193348.31,13,26,1,0,0.5,54.0,Moderate
CUST10042,Customer 0043,Small Business,United Arab Emirates,Medium,1,2058.58,3.0,0.0,113430.54999999999,60.666666666666664,2.0,3.0,28,382367.92,8,28,1,1,0.2857142857142857,72.4,High
CUST10043,Customer 0044,Consumer,United States,Low,0,18748.09,0.0,0.0,0.0,0.0,0.0,0.0,24,130909.5,10,24,0,0,0.4166666666666667,17.0,Low
CUST10044,Customer 0045,Commercial,Russia,High,0,2066.62,3.0,0.0,69590.18,37.0,2.0,3.0,24,313651.89,6,24,1,1,0.25,67.0,High
CUST10045,Customer 0046,Small Business,United States,Medium,0,17064.02,6.0,2.0,147841.14,55.5,4.0,6.0,28,283717.82,9,28,1,1,0.32142857142857145,79.0,High
CUST10046,Customer 0047,Consumer,Russia,Low,0,1082.59,0.0,0.0,0.0,0.0,0.0,0.0,25,319056.71,8,25,0,0,0.32,17.0,Low
CUST10047,Customer 0048,Consumer,Turkey,High,0,12736.16,2.0,1.0,19331.21,36.5,2.0,2.0,20,266121.56,9,19,0,1,0.45,60.0,High
CUST10048,Customer 0049,Consumer,United States,Low,0,4119.46,1.0,1.0,9707.38,84.0,1.0,1.0,28,310860.92,12,28,0,0,0.42857142857142855,26.0,Low
CUST10049,Customer 0050,Consumer,Russia,Medium,0,7125.51,0.0,0.0,0.0,0.0,0.0,0.0,32,342813.62,12,32,0,0,0.375,24.0,Low
CUST10050,Customer 0051,Commercial,Nigeria,Low,0,2332.48,0.0,0.0,0.0,0.0,0.0,0.0,15,312677.13,4,15,0,0,0.26666666666666666,15.7,Low
CUST10051,Customer 0052,Consumer,India,Medium,0,10546.7,1.0,0.0,29843.75,49.0,1.0,1.0,25,358416.76,12,25,0,0,0.48,28.0,Low
CUST10052,Customer 0053,Consumer,United States,Low,0,1268.78,0.0,0.0,0.0,0.0,0.0,0.0,20,153667.92,3,20,0,0,0.15,11.0,Low
CUST10053,Customer 0054,Commercial,Nigeria,Medium,0,17195.53,0.0,0.0,0.0,0.0,0.0,0.0,24,346816.98,8,24,0,0,0.3333333333333333,24.0,Low
CUST10054,Customer 0055,Commercial,Mexico,Low,0,11412.78,2.0,0.0,119406.31,59.5,2.0,2.0,22,287124.07,10,22,0,1,0.45454545454545453,40.0,Moderate
CUST10055,Customer 0056,Consumer,United States,Low,0,19824.52,1.0,1.0,8221.78,86.0,1.0,1.0,26,296886.35,9,26,0,0,0.34615384615384615,26.0,Low
CUST10056,Customer 0057,Small Business,United States,Low,0,6022.0,4.0,2.0,479704.55999999994,57.75,3.0,4.0,29,353850.73,13,29,1,1,0.4482758620689655,68.0,High
CUST10057,Customer 0058,Consumer,United States,Medium,0,8466.24,0.0,0.0,0.0,0.0,0.0,0.0,21,302716.21,12,21,0,0,0.5714285714285714,24.0,Low
CUST10058,Customer 0059,Consumer,India,Medium,0,10631.28,1.0,1.0,15731.0,71.0,1.0,1.0,17,173261.61,5,17,0,0,0.29411764705882354,32.8,Moderate
CUST10059,Customer 0060,Consumer,Canada,Medium,0,8234.18,1.0,1.0,17501.95,44.0,1.0,1.0,28,300783.13,12,28,0,0,0.42857142857142855,33.0,Moderate
CUST10060,Customer 0061,Consumer,Canada,Low,0,11043.23,1.0,1.0,66469.43,61.0,1.0,1.0,32,337319.98,16,32,0,0,0.5,26.0,Low
CUST10061,Customer 0062,Consumer,Russia,Low,0,18057.15,1.0,0.0,5666.73,76.0,1.0,1.0,25,214552.59,8,25,0,0,0.32,21.0,Low
CUST10062,Customer 0063,Consumer,Turkey,Low,0,975.57,2.0,0.0,146294.68000000002,68.0,2.0,2.0,33,342503.64,12,33,0,1,0.36363636363636365,40.0,Moderate
CUST10063,Customer 0064,Consumer,Russia,High,0,11173.55,1.0,0.0,11363.63,54.0,1.0,1.0,21,206435.31,10,20,0,0,0.47619047619047616,36.0,Moderate
CUST10064,Customer 0065,Small Business,United States,High,0,4384.04,1.0,0.0,7225.82,77.0,1.0,1.0,28,364120.70999999996,12,28,0,0,0.42857142857142855,36.0,Moderate
CUST10065,Customer 0066,Small Business,Turkey,Medium,0,845.6,0.0,0.0,0.0,0.0,0.0,0.0,32,347655.83,13,32,0,0,0.40625,24.0,Low
CUST10066,Customer 0067,Commercial,Mexico,Low,0,13561.47,2.0,1.0,87659.79000000001,59.5,2.0,2.0,21,177163.06,12,21,0,1,0.5714285714285714,45.0,Moderate
CUST10067,Customer 0068,Consumer,United States,High,0,8274.37,0.0,0.0,0.0,0.0,0.0,0.0,30,308829.1,11,30,0,0,0.36666666666666664,32.0,Moderate
CUST10068,Customer 0069,Consumer,United States,High,0,4837.48,3.0,1.0,75981.02,73.66666666666667,2.0,3.0,18,175734.11000000002,6,18,1,1,0.3333333333333333,74.0,High
CUST10069,Customer 0070,Small Business,Turkey,Low,0,7208.06,3.0,0.0,614319.88,54.0,2.0,3.0,16,199522.72,6,16,1,1,0.375,54.0,Moderate
CUST10070,Customer 0071,Small Business,Canada,Medium,0,1119.63,1.0,0.0,2613.29,68.0,1.0,1.0,29,289698.02,13,29,0,0,0.4482758620689655,28.0,Low
CUST10071,Customer 0072,Consumer,United States,Low,0,46146.45,2.0,0.0,216630.34999999998,58.5,2.0,2.0,30,282081.29,13,30,0,1,0.43333333333333335,40.0,Moderate
CUST10072,Customer 0073,Consumer,China,High,0,20604.72,2.0,0.0,250455.12,48.5,1.0,2.0,28,306232.17,11,28,0,0,0.39285714285714285,40.0,Moderate
CUST10073,Customer 0074,Consumer,Mexico,Medium,0,4459.59,2.0,0.0,31177.420000000002,59.0,2.0,2.0,22,211422.97,5,22,0,1,0.22727272727272727,44.1,Moderate
CUST10074,Customer 0075,Small Business,United States,High,0,3823.01,0.0,0.0,0.0,0.0,0.0,0.0,20,310184.7,8,20,0,0,0.4,32.0,Moderate
CUST10075,Customer 0076,Consumer,United States,Medium,0,31914.23,1.0,1.0,13247.92,63.0,1.0,1.0,30,276323.39,11,30,0,0,0.36666666666666664,33.0,Moderate
CUST10076,Customer 0077,Consumer,United States,Medium,0,2432.57,3.0,1.0,72497.19,52.333333333333336,2.0,3.0,27,210508.74,15,27,1,1,0.5555555555555556,66.0,High
CUST10077,Customer 0078,Consumer,United Kingdom,Medium,0,2228.07,3.0,0.0,98687.04999999999,32.0,1.0,3.0,28,485017.3,11,28,1,0,0.39285714285714285,46.0,Moderate
CUST10078,Customer 0079,Consumer,United States,Low,0,34062.88,3.0,1.0,107433.53,64.0,3.0,3.0,25,301198.34,10,25,1,1,0.4,59.0,Moderate
CUST10079,Customer 0080,Commercial,United States,Low,0,15396.21,4.0,1.0,64457.71,64.75,3.0,4.0,23,295726.23,6,23,1,1,0.2608695652173913,61.4,High
CUST10080,Customer 0081,Consumer,Nigeria,Low,0,13880.06,0.0,0.0,0.0,0.0,0.0,0.0,24,226287.83000000002,10,24,0,0,0.4166666666666667,17.0,Low
CUST10081,Customer 0082,Commercial,United Arab Emirates,Medium,0,2707.47,2.0,1.0,93066.89,66.5,1.0,2.0,17,271262.35,7,16,0,0,0.4117647058823529,37.0,Moderate
CUST10082,Customer 0083,Small Business,United States,Medium,0,12130.29,2.0,1.0,40814.89,60.0,1.0,2.0,22,131346.72,8,22,0,0,0.36363636363636365,37.0,Moderate
CUST10083,Customer 0084,Consumer,United States,Low,0,20302.94,1.0,1.0,12575.89,76.0,1.0,1.0,21,160188.18,8,21,0,0,0.38095238095238093,26.0,Low
CUST10084,Customer 0085,Consumer,United Kingdom,High,0,43617.79,4.0,3.0,198988.29,80.75,2.0,4.0,36,400391.73,13,36,1,1,0.3611111111111111,88.0,Critical
CUST10085,Customer 0086,Consumer,United Kingdom,Low,0,10371.01,0.0,0.0,0.0,0.0,0.0,0.0,31,306896.82,15,30,0,0,0.4838709677419355,17.0,Low
CUST10086,Customer 0087,Small Business,Russia,Low,0,25192.2,0.0,0.0,0.0,0.0,0.0,0.0,19,250679.91,13,19,0,0,0.6842105263157895,17.0,Low
CUST10087,Customer 0088,Consumer,Mexico,High,0,7198.87,0.0,0.0,0.0,0.0,0.0,0.0,21,396294.39,10,21,0,0,0.47619047619047616,32.0,Moderate
CUST10088,Customer 0089,Consumer,United Kingdom,Low,0,36640.77,1.0,0.0,184251.78,54.0,1.0,1.0,32,399762.4,16,32,0,0,0.5,21.0,Low
CUST10089,Customer 0090,Consumer,United States,Low,0,31996.66,1.0,0.0,18474.58,32.0,1.0,1.0,21,149846.09,12,21,0,0,0.5714285714285714,21.0,Low
CUST10090,Customer 0091,Consumer,United States,Low,0,4945.75,1.0,0.0,12801.1,54.0,1.0,1.0,25,241088.09,12,25,0,0,0.48,21.0,Low
CUST10091,Customer 0092,Commercial,United Kingdom,Medium,0,16127.68,0.0,0.0,0.0,0.0,0.0,0.0,28,361187.75,8,28,0,0,0.2857142857142857,23.4,Low
CUST10092,Customer 0093,Commercial,United States,Low,0,9330.71,1.0,0.0,312760.14,60.0,1.0,1.0,23,255846.8,6,23,0,0,0.2608695652173913,19.4,Low
CUST10093,Customer 0094,Consumer,United States,High,1,129388.88,1.0,1.0,187384.26,73.0,1.0,1.0,23,215153.14,13,23,0,0,0.5652173913043478,53.0,Moderate
CUST10094,Customer 0095,Consumer,United States,Low,0,47449.59,1.0,0.0,25801.73,65.0,1.0,1.0,19,304552.64,7,19,0,0,0.3684210526315789,21.0,Low
CUST10095,Customer 0096,Consumer,Nigeria,Medium,0,63495.66,1.0,1.0,13415.95,83.0,1.0,1.0,34,385478.92,13,34,0,0,0.38235294117647056,33.0,Moderate
CUST10096,Customer 0097,Small Business,Nigeria,Medium,1,13211.86,3.0,1.0,73687.19,56.0,2.0,3.0,24,444534.5,7,24,1,1,0.2916666666666667,77.7,High
CUST10097,Customer 0098,Small Business,United Kingdom,Medium,0,8362.7,0.0,0.0,0.0,0.0,0.0,0.0,26,295503.19,11,26,0,0,0.4230769230769231,24.0,Low
CUST10098,Customer 0099,Commercial,United Arab Emirates,Low,0,25087.31,0.0,0.0,0.0,0.0,0.0,0.0,41,393769.39,15,41,0,0,0.36585365853658536,17.0,Low
CUST10099,Customer 0100,Commercial,United States,Low,0,27179.29,1.0,0.0,6952.96,41.0,1.0,1.0,18,220943.74,7,18,0,0,0.3888888888888889,21.0,Low
CUST10100,Customer 0101,Consumer,United States,Low,1,2989.79,2.0,1.0,46955.59,75.0,2.0,2.0,27,262155.51,7,27,0,1,0.25925925925925924,55.4,Moderate
CUST10101,Customer 0102,Commercial,Russia,Low,0,11859.83,2.0,0.0,44930.85,63.0,2.0,2.0,19,162179.16,10,19,0,1,0.5263157894736842,40.0,Moderate
CUST10102,Customer 0103,Consumer,United States,Low,0,7485.87,3.0,0.0,89464.45999999999,74.66666666666667,2.0,2.0,20,196176.4,7,20,1,1,0.35,54.0,Moderate
CUST10103,Customer 0104,Small Business,United States,Low,0,21357.47,2.0,1.0,64319.78999999999,63.5,2.0,2.0,30,289655.09,15,30,0,1,0.5,45.0,Moderate
CUST10104,Customer 0105,Consumer,United States,Low,0,6494.83,2.0,1.0,109621.45999999999,46.5,1.0,1.0,28,334309.96,10,28,0,0,0.35714285714285715,30.0,Moderate
CUST10105,Customer 0106,Consumer,United States,Medium,0,11308.76,0.0,0.0,0.0,0.0,0.0,0.0,21,244722.95,9,21,0,0,0.42857142857142855,24.0,Low
CUST10106,Customer 0107,Consumer,United States,High,0,10114.35,2.0,0.0,54291.35,56.0,2.0,2.0,28,311587.24,9,28,0,1,0.32142857142857145,55.0,Moderate
CUST10107,Customer 0108,Consumer,Turkey,Low,0,23260.96,1.0,1.0,6090.24,26.0,1.0,1.0,18,190240.29,4,18,0,0,0.2222222222222222,22.9,Low
CUST10108,Customer 0109,Consumer,Turkey,Medium,0,188119.31,0.0,0.0,0.0,0.0,0.0,0.0,17,145378.24,10,17,0,0,0.5882352941176471,24.0,Low
CUST10109,Customer 0110,Small Business,United States,Low,0,12870.4,0.0,0.0,0.0,0.0,0.0,0.0,26,241537.80000000002,14,26,0,0,0.5384615384615384,17.0,Low
CUST10110,Customer 0111,Small Business,United Kingdom,Medium,0,52675.85,2.0,2.0,86219.97,74.0,1.0,2.0,25,210800.07,15,25,0,0,0.6,42.0,Moderate
CUST10111,Customer 0112,Consumer,Canada,Medium,0,9080.39,1.0,1.0,3663.36,64.0,1.0,1.0,25,370400.87,9,25,0,0,0.36,33.0,Moderate
CUST10112,Customer 0113,Small Business,Canada,Low,0,9736.85,1.0,0.0,16042.41,32.0,1.0,1.0,33,394375.38,13,33,0,0,0.3939393939393939,21.0,Low
CUST10113,Customer 0114,Consumer,Turkey,High,0,11644.5,0.0,0.0,0.0,0.0,0.0,0.0,22,239797.46,13,22,0,0,0.5909090909090909,32.0,Moderate
CUST10114,Customer 0115,Consumer,United States,Low,0,23639.98,0.0,0.0,0.0,0.0,0.0,0.0,28,402051.95,11,28,0,0,0.39285714285714285,17.0,Low
CUST10115,Customer 0116,Consumer,Russia,Low,0,12423.05,0.0,0.0,0.0,0.0,0.0,0.0,22,159616.53,8,22,0,0,0.36363636363636365,17.0,Low
CUST10116,Customer 0117,Consumer,Russia,Medium,0,17547.74,0.0,0.0,0.0,0.0,0.0,0.0,22,199970.44,9,22,0,0,0.4090909090909091,24.0,Low
CUST10117,Customer 0118,Small Business,United States,Medium,0,10940.03,2.0,0.0,65429.18,39.5,2.0,2.0,19,176886.72,5,19,0,1,0.2631578947368421,45.5,Moderate
CUST10118,Customer 0119,Consumer,United Kingdom,Low,0,7827.19,1.0,0.0,198352.45,61.0,1.0,1.0,26,341230.54,9,26,0,0,0.34615384615384615,21.0,Low
CUST10119,Customer 0120,Small Business,United Kingdom,Medium,0,2729.29,4.0,3.0,72045.81,60.75,3.0,4.0,29,377657.71,13,28,1,1,0.4482758620689655,80.0,Critical
CUST10120,Customer 0121,Commercial,United States,Medium,0,2484.88,3.0,1.0,162108.57,59.0,3.0,3.0,23,188122.24,8,23,1,1,0.34782608695652173,66.0,High
CUST10121,Customer 0122,Consumer,United States,Low,0,7535.92,2.0,0.0,27488.18,41.5,1.0,2.0,25,429283.04000000004,7,25,0,0,0.28,24.2,Low
CUST10122,Customer 0123,Consumer,Mexico,Low,0,39996.58,0.0,0.0,0.0,0.0,0.0,0.0,18,127886.78,8,18,0,0,0.4444444444444444,17.0,Low
CUST10123,Customer 0124,Consumer,India,Medium,0,9713.33,1.0,0.0,66428.14,53.0,1.0,1.0,22,312576.18,5,22,0,0,0.22727272727272727,25.1,Low
CUST10124,Customer 0125,Commercial,Turkey,Medium,0,6729.26,3.0,1.0,250712.75,60.333333333333336,2.0,2.0,38,327785.88,16,38,1,1,0.42105263157894735,66.0,High
CUST10125,Customer 0126,Consumer,United States,Low,0,12736.92,2.0,1.0,40662.44,38.5,1.0,2.0,24,324410.42,10,24,0,0,0.4166666666666667,30.0,Moderate
CUST10126,Customer 0127,Consumer,India,Medium,0,49527.86,0.0,0.0,0.0,0.0,0.0,0.0,27,378462.18,10,27,0,0,0.37037037037037035,24.0,Low
CUST10127,Customer 0128,Consumer,United Kingdom,Medium,0,5115.61,1.0,0.0,83313.41,41.0,1.0,1.0,33,457348.44,12,33,0,0,0.36363636363636365,28.0,Low
CUST10128,Customer 0129,Consumer,China,Low,0,26467.54,1.0,0.0,225362.49,66.0,1.0,1.0,18,238051.7,8,18,0,0,0.4444444444444444,21.0,Low
CUST10129,Customer 0130,Consumer,United States,Low,0,6598.15,3.0,2.0,103532.7,46.666666666666664,2.0,3.0,20,175844.0,5,20,1,1,0.25,62.0,High
CUST10130,Customer 0131,Small Business,Nigeria,Medium,0,16917.51,1.0,0.0,47455.44,24.0,1.0,1.0,24,339932.1,15,24,0,0,0.625,28.0,Low
CUST10131,Customer 0132,Consumer,United States,High,0,3630.91,3.0,0.0,170015.37,68.66666666666667,3.0,3.0,20,283928.98,6,20,1,1,0.3,69.0,High
CUST10132,Customer 0133,Consumer,India,Medium,0,15147.48,0.0,0.0,0.0,0.0,0.0,0.0,18,267659.07,8,18,0,0,0.4444444444444444,24.0,Low
CUST10133,Customer 0134,Small Business,United Kingdom,Low,0,2185.95,2.0,1.0,30512.909999999996,68.0,2.0,2.0,20,263965.25,6,20,0,1,0.3,45.0,Moderate
CUST10134,Customer 0135,Small Business,United States,Low,0,47933.26,1.0,0.0,26580.7,29.0,1.0,1.0,20,314562.16,8,20,0,0,0.4,21.0,Low
CUST10135,Customer 0136,Consumer,Mexico,Low,0,3261.97,0.0,0.0,0.0,0.0,0.0,0.0,22,245523.99000000002,6,22,0,0,0.2727272727272727,15.9,Low
CUST10136,Customer 0137,Consumer,India,Low,0,20232.82,4.0,2.0,332226.39,47.5,3.0,4.0,34,376160.36,11,34,1,1,0.3235294117647059,68.0,High
CUST10137,Customer 0138,Consumer,United States,Low,0,6685.45,2.0,2.0,45535.12,55.0,2.0,2.0,19,220004.94,7,19,0,1,0.3684210526315789,50.0,Moderate
CUST10138,Customer 0139,Consumer,India,Low,0,61715.44,2.0,1.0,104020.07999999999,56.0,2.0,2.0,28,325316.86,11,28,0,1,0.39285714285714285,45.0,Moderate
CUST10139,Customer 0140,Consumer,United States,Low,0,2118.98,0.0,0.0,0.0,0.0,0.0,0.0,23,215467.5,8,23,0,0,0.34782608695652173,17.0,Low
CUST10140,Customer 0141,Small Business,Russia,Low,0,88971.05,0.0,0.0,0.0,0.0,0.0,0.0,26,504942.83,13,26,0,0,0.5,17.0,Low
CUST10141,Customer 0142,Small Business,United States,Low,0,4407.07,1.0,1.0,10533.59,67.0,1.0,1.0,21,290529.31,11,21,0,0,0.5238095238095238,26.0,Low
CUST10142,Customer 0143,Consumer,United Arab Emirates,Low,0,2690.82,1.0,1.0,55682.55,54.0,1.0,1.0,22,310674.22000000003,8,22,0,0,0.36363636363636365,26.0,Low
CUST10143,Customer 0144,Consumer,Nigeria,Medium,0,9811.72,2.0,2.0,70985.59999999999,73.0,2.0,2.0,20,418601.48,9,20,0,1,0.45,57.0,Moderate
CUST10144,Customer 0145,Commercial,United States,Low,0,2851.75,0.0,0.0,0.0,0.0,0.0,0.0,30,308177.38,8,30,0,0,0.26666666666666666,15.7,Low
CUST10145,Customer 0146,Consumer,United States,Low,0,11265.02,1.0,0.0,9858.73,38.0,1.0,1.0,26,270322.45,9,26,0,0,0.34615384615384615,21.0,Low
CUST10146,Customer 0147,Small Business,United States,High,0,23745.25,3.0,2.0,200288.5,71.0,1.0,1.0,22,170528.43,11,22,1,0,0.5,64.0,High
CUST10147,Customer 0148,Consumer,United Arab Emirates,Low,0,6803.67,1.0,0.0,50801.94,73.0,1.0,1.0,20,261854.3,8,20,0,0,0.4,21.0,Low
CUST10148,Customer 0149,Small Business,Mexico,Medium,0,21723.68,3.0,2.0,279306.83,76.66666666666667,2.0,3.0,15,199710.33,7,15,1,1,0.4666666666666667,71.0,High
CUST10149,Customer 0150,Commercial,United States,Medium,0,4420.8,1.0,1.0,10710.62,64.0,1.0,1.0,28,353509.16,16,28,0,0,0.5714285714285714,33.0,Moderate
CUST10150,Customer 0151,Consumer,Nigeria,Medium,0,2731.48,1.0,0.0,25724.42,55.0,1.0,1.0,18,124315.5,7,18,0,0,0.3888888888888889,28.0,Low
CUST10151,Customer 0152,Consumer,Mexico,Low,0,8743.44,0.0,0.0,0.0,0.0,0.0,0.0,24,251126.19,7,24,0,0,0.2916666666666667,16.7,Low
CUST10152,Customer 0153,Consumer,Turkey,Medium,0,16479.69,1.0,1.0,7092.24,68.0,1.0,1.0,22,381611.66000000003,9,22,0,0,0.4090909090909091,33.0,Moderate
CUST10153,Customer 0154,Consumer,Nigeria,Medium,0,2784.93,0.0,0.0,0.0,0.0,0.0,0.0,25,337674.02,9,25,0,0,0.36,24.0,Low
