counterparty_id,connected_customers,transaction_count,total_amount,high_risk_geo_transactions,network_review_flag
CP00104,3,3,46899.2,1,0
CP00105,3,3,18088.34,2,0
CP00106,5,5,33600.05,4,1
CP00107,3,3,29547.08,1,0
CP00108,4,4,47996.94,1,0
CP00109,4,4,64779.8,2,0
CP00110,5,5,45235.57,2,1
CP00111,4,4,33443.07,0,0
CP00112,3,3,15009.98,1,0
CP00113,6,6,76149.95,2,1
CP00114,3,3,36606.82,2,0
CP00115,7,7,82982.87,3,1
CP00116,3,3,16306.75,1,0
CP00117,6,6,61372.47,3,1
CP00118,2,2,28803.36,0,0
CP00119,7,7,231795.34,1,0
CP00120,8,8,44418.7,2,1
CP00121,4,4,15971.85,0,0
CP00122,7,7,63504.78999999999,2,1
CP00123,3,3,22020.3,0,0
CP00124,4,4,26398.98,3,0
CP00125,5,5,26262.93,3,1
CP00126,2,2,35624.09,1,0
CP00127,1,1,2058.94,1,0
CP00128,6,6,60245.36,2,1
CP00129,6,6,29844.22,1,0
CP00130,10,10,144152.05000000002,5,1
CP00131,4,4,47782.29,2,0
CP00132,3,3,62141.79,1,0
CP00133,7,7,68206.22,2,1
CP00134,6,6,23382.92,1,0
CP00135,7,7,29594.260000000002,2,1
CP00136,5,5,39257.61,3,1
CP00137,6,6,48115.57,4,1
CP00138,1,1,2489.64,1,0
CP00139,5,5,49602.25,3,1
CP00140,4,4,25450.62,2,0
CP00141,2,2,16533.61,2,0
CP00142,4,4,25032.36,0,0
CP00143,2,2,63577.83,1,0
CP00144,4,4,50834.229999999996,1,0
CP00145,3,3,26803.62,1,0
CP00146,6,6,55913.72,2,1
CP00147,4,4,57479.45,1,0
CP00148,5,5,70219.23999999999,1,0
CP00149,9,9,119740.71,3,1
CP00150,9,9,73361.34,3,1
CP00151,7,7,83550.69,2,1
CP00152,5,5,68828.54000000001,3,1
CP00153,7,7,101634.76,2,1
CP00154,7,7,194365.43,4,1
CP00155,5,5,89273.61,3,1
CP00156,6,6,101763.78,1,0
CP00157,6,6,61036.159999999996,2,1
CP00158,7,7,48607.93,3,1
CP00159,2,2,44344.44,1,0
CP00160,3,3,18140.73,0,0
CP00161,3,3,41344.24,2,0
CP00162,6,6,75416.5,2,1
CP00163,2,3,71163.79000000001,2,0
CP00164,1,1,11867.85,1,0
CP00165,5,5,41188.2,2,1
CP00166,8,8,38116.14,4,1
CP00167,7,7,60821.479999999996,4,1
CP00168,3,3,45185.54,1,0
CP00169,3,3,10516.69,1,0
CP00170,6,6,155561.17,1,0
CP00171,5,5,41926.59,0,0
CP00172,4,4,90820.51999999999,1,0
CP00173,6,6,34824.06,4,1
CP00174,4,4,28947.33,1,0
CP00175,2,2,9436.2,2,0
CP00176,5,5,46524.75,2,1
CP00177,7,7,88498.41,3,1
CP00178,3,3,31832.690000000002,2,0
CP00179,1,1,31861.45,1,0
CP00180,5,5,61906.34,1,0
CP00181,2,2,36147.18,0,0
CP00182,8,8,96772.91,3,1
CP00183,2,2,28407.19,0,0
CP00184,8,8,100380.44,3,1
CP00185,5,5,83211.64,1,0
CP00186,2,2,29587.300000000003,1,0
CP00187,5,5,47365.759999999995,1,0
CP00189,1,1,6060.99,0,0
CP00190,8,8,50490.31,3,1
CP00191,5,5,49123.009999999995,2,1
CP00192,5,5,21423.760000000002,1,0
CP00193,3,3,19644.1,2,0
CP00194,8,8,64509.92,7,1
CP00195,6,6,29924.9,4,1
CP00196,4,4,51818.49,2,0
CP00197,2,2,46602.27,0,0
CP00198,7,7,35794.68,2,1
CP00199,6,6,67934.98,3,1
CP00200,8,8,65136.42,3,1
CP00201,7,7,69485.32,1,0
CP00202,4,4,32236.88,3,0
CP00203,8,8,66661.84,4,1
CP00204,3,3,18233.93,0,0
CP00205,3,3,20194.05,1,0
CP00206,1,1,7273.87,0,0
CP00207,6,6,41275.21,2,1
CP00208,5,5,51114.66,2,1
CP00209,1,1,4695.83,0,0
CP00210,5,5,69928.73,1,0
CP00211,4,4,40755.89,1,0
CP00212,4,4,30244.809999999998,1,0
CP00213,2,2,9392.48,2,0
CP00214,2,2,34000.03,1,0
CP00215,3,3,60414.31,1,0
CP00216,5,5,70395.67,1,0
CP00217,6,6,192003.82,1,0
CP00218,6,6,95743.79000000001,1,0
CP00219,4,4,35916.67,1,0
CP00220,6,6,29259.17,5,1
CP00221,2,2,7477.3,1,0
CP00222,9,9,184741.98,4,1
CP00223,4,4,19636.77,0,0
CP00224,5,5,84715.73999999999,4,1
CP00225,4,4,25398.809999999998,0,0
CP00226,3,3,25439.91,0,0
CP00227,5,5,80454.43,1,0
CP00228,5,5,135160.3,2,1
CP00229,4,4,16046.52,0,0
CP00230,3,3,16218.029999999999,2,0
CP00231,8,8,136169.62,3,1
CP00232,1,1,14907.13,0,0
CP00233,6,6,52489.270000000004,1,0
CP00234,2,2,47467.95,1,0
CP00235,6,6,32275.15,2,1
CP00236,4,4,17037.06,1,0
CP00237,7,7,154239.93,3,1
CP00238,2,2,30655.01,0,0
CP00239,6,6,119429.6,2,1
CP00240,4,4,39568.63,3,0
CP00241,3,3,42786.89,1,0
CP00242,6,6,84404.97,3,1
CP00243,4,4,12576.49,0,0
CP00244,6,6,52345.67,2,1
CP00245,6,6,37262.689999999995,2,1
CP00246,5,5,33550.36,2,1
CP00247,9,9,49878.15,4,1
CP00248,5,5,35061.29,3,1
CP00249,5,5,27007.760000000002,1,0
CP00250,3,3,20880.6,1,0
CP00251,3,3,19664.59,1,0
CP00252,1,1,12648.47,1,0
CP00253,9,9,118438.59,3,1
CP00254,4,4,13118.9,1,0
CP00255,1,1,15043.84,1,0
CP00256,4,4,52227.75,1,0
CP00257,6,6,147818.32,1,0
CP00258,2,2,18035.95,0,0
CP00259,3,3,37410.17,1,0
CP00260,4,4,49644.590000000004,3,0
CP00261,5,5,27497.56,4,1
CP00262,2,2,13021.37,1,0
CP00263,7,7,134724.25,6,1
CP00264,4,4,40989.24,2,0
CP00265,4,4,29882.86,3,0
CP00266,3,3,53100.119999999995,1,0
CP00267,7,7,55268.65,3,1
CP00268,2,2,11531.5,2,0
CP00270,6,6,47430.27,2,1
CP00271,2,2,9320.51,1,0
CP00272,4,4,31584.24,3,0
CP00273,2,2,6794.81,1,0
CP00274,4,4,128865.95,2,0
CP00275,1,1,6400.31,0,0
CP00276,2,2,50072.28,2,0
CP00277,2,2,8895.36,0,0
CP00278,2,2,39516.77,0,0
CP00279,7,7,96786.29,2,1
CP00280,7,7,44910.99,4,1
CP00281,6,6,37176.909999999996,1,0
CP00282,4,4,25638.68,1,0
CP00283,6,6,90412.97,2,1
CP00284,7,7,91602.2,3,1
CP00285,6,6,73242.22,4,1
CP00286,4,4,44501.22,1,0
CP00287,3,3,18100.54,1,0
CP00288,4,4,51057.979999999996,0,0
CP00289,4,4,81780.97,2,0
CP00290,3,3,67313.82999999999,0,0
CP00291,3,3,38212.53,1,0
CP00292,9,9,48299.95,5,1
CP00293,6,6,63400.32,3,1
CP00294,4,4,49381.99,2,0
CP00295,5,5,77696.79,2,1
CP00296,5,5,35533.64,1,0
CP00297,7,7,35807.03,4,1
CP00298,3,3,69620.72,2,0
CP00299,7,7,160406.54,2,1
CP00300,6,6,63632.840000000004,2,1
CP00301,1,1,7836.95,0,0
CP00302,5,5,100943.56999999999,0,0
CP00303,10,10,154723.34,4,1
CP00304,4,4,26087.21,1,0
CP00305,4,5,31958.89,1,0
CP00306,3,3,7411.3099999999995,2,0
CP00307,4,4,66174.29000000001,3,0
CP00308,5,5,70914.16,1,0
CP00309,10,10,114245.33,6,1
CP00310,7,7,59270.11,2,1
CP00311,3,3,18254.7,0,0
CP00312,7,7,80189.62,4,1
CP00313,5,5,22961.95,2,1
CP00314,8,8,88099.67,4,1
CP00315,8,8,116754.22,5,1
CP00316,10,10,83135.92,2,1
CP00317,5,5,53147.4,2,1
CP00318,4,4,35309.68,2,0
CP00319,4,4,45178.299999999996,3,0
CP00320,9,9,178995.90999999997,3,1
CP00321,6,6,49603.03,2,1
CP00322,3,3,47538.31,1,0
CP00323,11,12,184408.76,5,1
CP00324,5,5,32997.22,1,0
CP00325,5,5,27599.010000000002,3,1
CP00326,5,5,58611.18000000001,2,1
CP00327,2,2,25756.629999999997,0,0
CP00328,5,5,108277.09999999999,2,1
CP00329,7,7,79147.22,1,0
CP00330,3,3,62438.22,1,0
CP00331,9,9,72005.62,5,1
CP00332,1,1,14695.85,0,0
CP00333,4,4,54634.86,1,0
CP00334,5,5,36716.369999999995,1,0
CP00335,5,5,112491.56999999999,0,0
CP00336,4,4,41191.119999999995,2,0
CP00337,6,6,90735.41,2,1
CP00338,4,4,72104.36,0,0
CP00339,2,2,9181.86,0,0
CP00340,3,3,30464.04,1,0
CP00341,7,7,94594.64,1,0
CP00342,6,6,35654.58,3,1
CP00343,6,6,57182.810000000005,1,0
CP00344,1,1,8396.29,0,0
CP00345,1,1,3791.79,0,0
CP00346,4,4,50112.89,2,0
CP00347,3,3,22108.25,2,0
CP00348,6,6,88012.5,4,1
CP00349,3,3,55919.68000000001,0,0
CP00350,5,5,47601.32,1,0
CP00351,6,6,21699.16,0,0
CP00352,3,3,81659.88,1,0
CP00353,1,1,4501.61,0,0
CP00354,6,6,28981.15,4,1
CP00355,4,4,28397.19,1,0
CP00356,3,3,31280.86,1,0
CP00357,8,8,55192.03,3,1
CP00358,2,2,60679.57,0,0
CP00359,4,4,12531.55,3,0
CP00360,2,2,13255.93,1,0
CP00361,3,3,15876.35,0,0
CP00362,5,5,62039.67,2,1
CP00363,11,11,155980.66,6,1
CP00364,5,5,25652.02,3,1
CP00365,9,9,74853.38,6,1
CP00366,6,6,41551.57,1,0
CP00367,6,6,27389.41,2,1
CP00368,2,2,24736.63,0,0
CP00369,5,5,115361.12,1,0
CP00370,7,7,72901.35,2,1
CP00371,5,5,36584.79,2,1
CP00372,5,5,54030.78999999999,0,0
CP00373,7,7,40618.82,3,1
CP00374,5,5,118389.87,2,1
CP00375,4,4,50354.47,1,0
CP00376,3,3,86273.42,1,0
CP00377,5,5,39342.659999999996,4,1
CP00378,3,3,45046.2,1,0
CP00379,2,2,33391.99,0,0
CP00380,7,7,51139.509999999995,4,1
CP00381,14,14,167747.55,5,1
CP00382,5,5,34625.22,4,1
CP00383,5,5,41650.93,1,0
CP00384,1,1,7674.71,1,0
CP00385,2,2,11176.029999999999,1,0
CP00386,5,5,84786.56999999999,2,1
CP00387,4,4,32182.81,2,0
CP00388,3,3,46202.14,2,0
CP00389,4,4,26964.72,0,0
CP00390,5,5,37771.39,1,0
CP00391,6,6,63520.43,0,0
CP00392,6,6,69364.1,2,1
CP00393,5,5,58848.689999999995,1,0
CP00394,7,7,215668.04,0,0
CP00395,2,2,60475.91,1,0
CP00396,5,5,80031.45000000001,1,0
CP00397,4,4,27682.510000000002,2,0
CP00398,7,7,30920.71,2,1
CP00399,4,4,15282.7,2,0
CP00400,2,2,6547.52,1,0
CP00401,8,8,39750.72,4,1
CP00402,3,3,70726.34000000001,1,0
CP00403,2,2,3225.67,0,0
CP00404,3,3,77997.23,1,0
CP00405,4,4,59047.590000000004,2,0
CP00406,5,5,55102.94,3,1
CP00407,4,4,51403.17,3,0
CP00408,5,5,77767.63,3,1
CP00409,6,6,44878.19,2,1
CP00410,6,6,114380.87,4,1
CP00411,4,4,26676.44,2,0
CP00412,5,5,37547.82,2,1
CP00413,7,7,170723.29000000004,1,0
CP00414,7,7,73080.14,3,1
CP00415,2,2,26584.72,0,0
CP00416,3,3,25458.129999999997,3,0
CP00417,6,6,64309.64,3,1
CP00418,3,3,64125.67,0,0
CP00419,6,6,67662.91,1,0
CP00420,6,6,47329.96,2,1
CP00421,4,4,71604.37,1,0
CP00422,6,6,57369.259999999995,1,0
CP00423,6,6,183885.31,1,0
CP00424,7,7,61590.39,2,1
CP00425,3,3,7328.59,1,0
CP00426,7,7,60764.16,4,1
CP00427,4,4,29257.410000000003,2,0
CP00428,8,8,69975.52,3,1
CP00429,7,7,44721.42,2,1
CP00430,8,8,158153.82,5,1
CP00431,3,3,15909.63,2,0
CP00432,6,6,57536.33,4,1
CP00433,1,1,20169.52,1,0
CP00434,5,5,93910.92000000001,2,1
CP00435,5,5,74464.17,1,0
CP00436,2,2,13254.43,1,0
CP00437,7,7,75292.85,0,0
CP00438,2,2,34450.82,1,0
CP00439,9,9,61731.950000000004,1,0
CP00440,4,4,61633.090000000004,2,0
CP00441,2,2,12198.16,1,0
CP00442,5,5,15883.04,2,1
CP00443,6,6,22999.34,2,1
CP00444,7,7,69755.48,1,0
CP00445,5,5,28907.88,2,1
CP00446,5,5,70682.32,0,0
CP00447,1,1,34468.04,0,0
CP00448,5,5,28252.530000000002,3,1
CP00449,5,5,93103.33,5,1
CP00450,9,9,55902.71,3,1
CP00451,2,2,41121.32,0,0
CP00452,3,3,33509.24,2,0
CP00453,5,5,33915.799999999996,4,1
CP00454,4,4,84272.71,1,0
CP00455,4,4,16854.11,1,0
CP00456,5,5,61280.22,1,0
CP00457,4,4,26996.579999999998,1,0
CP00458,3,3,12980.52,2,0
CP00459,3,3,32096.22,3,0
CP00460,4,4,41203.91,1,0
CP00461,2,2,43661.87,0,0
CP00462,3,3,28162.98,1,0
CP00464,4,4,38057.79,1,0
CP00465,5,5,67271.67000000001,2,1
CP00466,1,1,18382.52,0,0
CP00467,6,6,101499.39,1,0
CP00468,2,2,13021.33,1,0
CP00469,5,5,81042.99,2,1
CP00470,3,3,30765.97,1,0
CP00471,2,2,30721.64,0,0
CP00472,5,5,24498.71,2,1
CP00473,2,2,251116.87,1,0
CP00474,9,9,44334.79,3,1
CP00475,7,7,77102.46,4,1
CP00476,4,4,20051.8,3,0
CP00477,7,7,102368.63,4,1
CP00478,6,6,74420.98,3,1
CP00479,8,8,97174.73,3,1
CP00480,4,4,39902.7,1,0
CP00481,3,3,20702.690000000002,1,0
CP00482,2,2,20045.23,1,0
CP00483,4,4,33886.86,2,0
CP00484,4,4,59116.770000000004,2,0
CP00485,6,6,46870.64,0,0
CP00486,3,3,37365.09,2,0
CP00487,5,5,34526.89,2,1
CP00488,3,3,20207.7,3,0
CP00489,4,4,14878.02,1,0
CP00490,8,8,98281.14,5,1
CP00491,3,3,14770.689999999999,2,0
CP00492,4,4,44736.12,2,0
CP00493,6,6,86021.6,3,1
CP00494,2,2,7281.599999999999,1,0
CP00495,5,5,72874.01,2,1
CP00496,4,4,29451.88,3,0
CP00497,6,6,48569.399999999994,1,0
CP00498,5,5,142975.16999999998,2,1
CP00499,2,2,33053.72,1,0
CP00500,7,7,68488.62,3,1
CP00501,5,5,60307.840000000004,3,1
CP00502,2,2,30148.829999999998,0,0
CP00503,1,1,29737.76,0,0
CP00504,4,4,132233.2,1,0
CP00505,4,4,23740.059999999998,1,0
CP00506,1,1,859.85,1,0
CP00507,7,7,95288.43,3,1
CP00508,8,8,178308.7,2,1
CP00509,6,6,66348.05,1,0
CP00510,4,4,33127.42,1,0
CP00511,5,5,56373.81,3,1
CP00512,2,2,17851.239999999998,1,0
CP00513,2,2,17796.6,0,0
CP00514,6,6,72110.49,4,1
CP00515,5,5,86253.84,2,1
CP00516,5,5,53830.8,4,1
CP00517,8,8,66969.15,3,1
CP00518,5,5,32415.83,1,0
CP00519,4,4,31564.489999999998,1,0
CP00520,7,7,79839.96,3,1
CP00521,7,7,142286.57,2,1
CP00522,3,3,16968.66,2,0
CP00523,3,3,72079.47,2,0
CP00524,10,10,79400.29,3,1
CP00525,3,3,35720.32,1,0
CP00526,4,4,24564.88,0,0
CP00527,6,6,72481.37,3,1
CP00528,2,2,3851.8599999999997,1,0
CP00529,6,6,41400.25,3,1
CP00530,5,5,23315.7,2,1
CP00531,3,3,17875.45,2,0
CP00532,8,8,148175.65,5,1
CP00533,6,6,158911.07,2,1
CP00534,2,2,114517.37999999999,1,0
CP00535,1,1,6985.87,1,0
CP00536,7,7,46616.85,1,0
CP00537,3,3,30034.620000000003,0,0
CP00538,5,5,89811.73,1,0
CP00539,9,9,59801.740000000005,5,1
CP00540,7,7,45943.36,0,0
CP00541,5,5,69003.15,1,0
CP00542,5,5,38135.51,1,0
CP00543,3,3,52467.369999999995,1,0
CP00544,3,3,43732.63,0,0
CP00545,3,3,23525.059999999998,1,0
CP00546,5,5,56464.19,2,1
CP00547,4,4,16274.44,2,0
CP00548,3,3,5856.68,0,0
CP00549,5,5,82305.01000000001,1,0
CP00550,3,3,34353.520000000004,2,0
CP00551,5,5,37548.14,2,1
CP00552,5,5,41709.36,1,0
CP00553,5,5,114410.90000000001,1,0
CP00554,6,6,38670.35,2,1
CP00555,9,9,95440.19,5,1
CP00556,5,5,63225.03,1,0
CP00557,4,4,38086.22,2,0
CP00558,3,3,10018.38,2,0
CP00559,2,2,9753.369999999999,1,0
CP00560,8,8,157311.81,2,1
CP00561,5,5,71932.21,0,0
CP00562,6,6,47186.81,1,0
CP00563,5,5,31199.36,2,1
CP00564,6,6,46300.1,2,1
CP00565,4,4,36884.66,0,0
CP00566,5,5,87594.05,1,0
CP00567,3,3,22182.17,0,0
CP00568,4,4,50845.84,2,0
CP00569,6,6,54266.81,1,0
CP00570,6,6,50652.55,1,0
CP00571,3,3,50580.06,1,0
CP00572,7,7,66761.37,1,0
CP00573,3,3,70943.16,2,0
CP00574,3,3,30036.32,2,0
CP00575,4,4,68700.74,3,0
CP00576,3,3,15075.689999999999,2,0
CP00577,5,5,94548.19,2,1
CP00578,5,5,44687.93,4,1
CP00579,4,4,30594.24,1,0
CP00580,6,6,51268.78,1,0
CP00581,8,8,99365.31,4,1
CP00582,2,2,10650.25,1,0
CP00583,4,4,29395.329999999998,2,0
CP00584,6,6,234032.5,3,1
CP00585,7,7,96566.61,1,0
CP00586,5,5,91437.52,3,1
CP00587,3,3,26712.199999999997,1,0
CP00588,2,2,18481.96,0,0
CP00589,4,4,31136.35,1,0
CP00590,2,2,3442.6299999999997,0,0
CP00591,4,4,35064.35,2,0
CP00592,6,6,55977.47,2,1
CP00593,1,1,1588.68,0,0
CP00594,4,4,15990.23,1,0
CP00595,5,5,46332.02,3,1
CP00596,1,1,10286.27,0,0
CP00597,7,7,61583.43,3,1
CP00598,7,7,90687.39,2,1
CP00599,3,3,31799.17,2,0
CP00600,4,4,35758.51,1,0
CP00601,3,3,90237.99,3,0
CP00602,3,3,17735.190000000002,1,0
CP00603,5,5,81300.56,2,1
CP00604,7,8,126573.81,4,1
CP00605,7,7,124245.27,4,1
CP00606,2,2,15939.11,1,0
CP00607,9,9,91432.5,2,1
CP00608,3,3,22874.62,1,0
CP00609,6,6,172519.63,3,1
CP00610,1,1,6411.45,1,0
CP00611,4,4,12105.49,1,0
CP00612,6,6,52515.119999999995,1,0
CP00613,4,4,51178.79,2,0
CP00614,7,7,144993.73,3,1
CP00615,2,2,15152.73,0,0
CP00616,7,7,96339.56,3,1
CP00617,8,8,84740.2,3,1
CP00618,8,8,166870.46000000002,4,1
CP00619,3,3,46365.25,2,0
CP00620,2,2,52165.83,0,0
CP00621,5,5,57330.37,2,1
CP00622,4,4,50802.15,3,0
CP00623,3,3,20166.54,1,0
CP00624,7,7,67349.98999999999,2,1
CP00625,3,3,16753.91,1,0
CP00626,7,7,198258.71,2,1
CP00627,3,3,24114.420000000002,2,0
CP00628,6,6,34019.81,1,0
CP00629,4,4,14229.880000000001,1,0
CP00630,9,9,90266.12,6,1
CP00631,3,3,31431.05,2,0
CP00632,11,11,82855.41,6,1
CP00633,4,4,17112.9,1,0
CP00634,5,5,71449.9,3,1
CP00635,8,8,73027.2,4,1
CP00636,4,4,35597.729999999996,2,0
CP00637,9,9,133279.25,4,1
CP00638,6,6,22577.46,2,1
CP00639,9,9,127106.22,3,1
CP00640,3,3,28870.29,0,0
CP00641,2,2,8252.08,1,0
CP00642,3,3,49272.3,1,0
CP00643,8,8,71001.97,3,1
CP00644,5,5,311593.56,3,1
CP00645,1,1,868.87,1,0
CP00646,7,8,89014.35,0,0
CP00647,7,7,50667.89,4,1
CP00648,5,5,56839.99,3,1
CP00649,6,6,41872.74,1,0
CP00650,5,5,105088.67,1,0
CP00651,4,4,41303.57,4,0
CP00653,4,4,9846.88,2,0
CP00654,2,2,16033.939999999999,0,0
CP00655,9,9,47621.86,5,1
CP00656,11,11,63383.93,6,1
CP00657,1,1,980.96,0,0
CP00658,2,2,13181.2,2,0
CP00659,3,3,24745.22,1,0
CP00660,4,4,98102.85,2,0
CP00661,6,6,53655.770000000004,5,1
CP00662,6,6,86290.1,4,1
CP00663,8,8,186431.86000000002,6,1
CP00664,9,9,80884.26,3,1
CP00665,6,6,89271.99,3,1
CP00666,3,3,10205.34,0,0
CP00667,10,10,78678.03,5,1
CP00668,4,4,35366.6,2,0
CP00669,9,9,69906.85,5,1
CP00670,4,4,56632.66,1,0
CP00671,5,5,32119.89,2,1
CP00672,3,3,30962.9,0,0
CP00673,8,8,66693.04,2,1
CP00674,4,4,15304.18,3,0
CP00675,3,3,60619.240000000005,1,0
CP00676,5,5,33191.22,2,1
CP00677,8,8,81525.99,3,1
CP00678,4,4,36515.36,2,0
CP00679,7,7,119326.09,4,1
CP00681,3,3,13316.99,1,0
CP00682,7,7,68687.82,4,1
CP00683,6,6,44139.25,3,1
CP00684,6,6,25607.940000000002,2,1
CP00685,3,3,87404.09,3,0
CP00686,4,4,31199.09,1,0
CP00687,3,3,21317.93,2,0
CP00688,3,3,20000.129999999997,0,0
CP00689,4,4,9300.64,3,0
CP00690,3,3,10467.83,0,0
CP00691,5,5,26508.02,0,0
CP00692,1,1,3975.67,0,0
CP00693,5,5,59928.41,2,1
CP00694,5,5,46102.95,1,0
CP00695,2,2,11585.72,0,0
CP00696,4,4,52510.270000000004,2,0
CP00697,6,6,66305.68,4,1
CP00698,4,4,136602.48,0,0
CP00699,1,1,7508.11,1,0
CP00700,5,5,29676.08,2,1
CP00701,7,7,84534.22,1,0
CP00702,5,5,74734.95999999999,1,0
CP00703,6,6,58526.64,4,1
CP00704,4,4,83755.13,1,0
CP00705,6,6,30032.66,2,1
CP00706,3,3,86139.78,1,0
CP00707,5,5,38937.5,2,1
CP00708,5,5,46258.56,2,1
CP00709,7,7,162377.91,2,1
CP00710,2,2,19380.16,0,0
CP00711,4,4,57843.99,2,0
CP00712,7,7,37277.83,2,1
CP00713,6,6,65679.62,2,1
CP00714,4,4,54113.5,2,0
CP00715,4,4,32883.97,4,0
CP00716,6,6,40495.11,2,1
CP00717,6,6,69869.18,2,1
CP00718,5,5,41646.59,3,1
CP00719,4,4,27324.75,3,0
CP00720,9,9,34332.95,6,1
CP00721,3,3,44097.020000000004,0,0
CP00722,5,5,68089.75,3,1
CP00723,1,1,11661.12,0,0
CP00724,3,3,56992.31,1,0
CP00725,5,5,68647.72,1,0
CP00726,3,3,18450.36,2,0
CP00727,6,6,24865.7,5,1
CP00728,2,2,5070.67,1,0
CP00729,3,3,59500.74,0,0
CP00730,8,8,165856.59,2,1
CP00731,8,8,221971.47,3,1
CP00732,3,3,50367.26,1,0
CP00733,7,7,47694.13,3,1
CP00734,10,10,75418.01,5,1
CP00735,6,6,69981.19,3,1
CP00736,6,6,111049.6,3,1
CP00737,6,6,29581.0,1,0
CP00738,3,3,67237.61,3,0
CP00739,5,5,54467.6,3,1
CP00740,2,2,35244.58,1,0
CP00741,7,7,77279.48,2,1
CP00742,10,10,93831.82,6,1
CP00743,2,2,24946.489999999998,1,0
CP00744,8,8,114773.62999999999,2,1
CP00745,9,9,92704.17,0,0
CP00746,7,7,107895.70999999999,3,1
CP00747,3,3,29131.030000000002,0,0
CP00748,6,6,29936.66,2,1
CP00749,6,6,111353.27,4,1
CP00750,5,5,46560.49,2,1
CP00751,5,5,72951.68,4,1
CP00752,8,8,41327.270000000004,2,1
CP00753,4,4,38395.82,3,0
CP00754,3,3,28856.09,1,0
CP00755,6,6,94349.66,1,0
