alert_id,customer_id,alert_date,risk_category,risk_driver,risk_score,alert_amount,disposition,escalated_flag,month
FCA00054,CUST10903,2026-01-23,Transaction Monitoring,Structuring,59.0,137990.73,Closed - Explained,0,2026-01
FCA00055,CUST10245,2026-02-12,Transaction Monitoring,Rapid Movement,32.0,13321.41,Closed - Explained,0,2026-02
FCA00056,CUST10176,2026-08-18,Fraud,Geo Anomaly,65.0,17022.54,Closed - Explained,0,2026-08
FCA00057,CUST11109,2026-02-02,Transaction Monitoring,High-Risk Wire,71.0,33940.15,Closed - Explained,0,2026-02
FCA00058,CUST10757,2026-05-16,Transaction Monitoring,Rapid Movement,55.0,4973.58,Closed - Explained,0,2026-05
FCA00059,CUST10701,2026-04-25,Transaction Monitoring,Unusual Volume,34.0,8095.73,Closed - Explained,0,2026-04
FCA00060,CUST10383,2026-04-10,Fraud,Suspicious Merchant,22.0,16256.05,Escalated,1,2026-04
FCA00061,CUST10494,2026-03-31,Fraud,Suspicious Merchant,39.0,140632.8,Closed - Explained,0,2026-03
FCA00062,CUST11139,2026-08-04,KYC/EDD,PEP Exposure,56.0,110354.22,Closed - Explained,0,2026-08
FCA00063,CUST10539,2026-03-25,KYC/EDD,PEP Exposure,62.0,172501.12,Escalated,1,2026-03
FCA00064,CUST10660,2026-06-01,KYC/EDD,PEP Exposure,61.0,41987.36,Closed - Explained,0,2026-06
FCA00065,CUST10634,2026-08-25,Sanctions,Watchlist Exposure,87.0,24103.94,Escalated,1,2026-08
FCA00066,CUST10947,2026-01-26,Transaction Monitoring,Rapid Movement,90.0,7798.36,Closed - Explained,0,2026-01
FCA00067,CUST11090,2026-03-16,Sanctions,High-Risk Geography,74.0,103080.4,Closed - Explained,0,2026-03
FCA00068,CUST10919,2026-04-22,Transaction Monitoring,High-Risk Wire,63.0,59766.38,Escalated,1,2026-04
FCA00069,CUST10555,2026-09-24,KYC/EDD,Adverse Media,60.0,11419.18,Escalated,1,2026-09
FCA00070,CUST10094,2026-08-13,Transaction Monitoring,Structuring,65.0,25801.73,Closed - Explained,0,2026-08
FCA00071,CUST10624,2026-04-04,Sanctions,Watchlist Exposure,78.0,13970.68,Escalated,1,2026-04
FCA00072,CUST10603,2026-01-22,Transaction Monitoring,High-Risk Wire,70.0,20140.1,Escalated,1,2026-01
FCA00073,CUST10990,2026-03-13,Transaction Monitoring,Unusual Volume,18.0,101302.33,Closed - Explained,0,2026-03
FCA00074,CUST11054,2026-04-20,Sanctions,High-Risk Geography,62.0,37591.74,Escalated,1,2026-04
FCA00075,CUST10156,2026-02-07,Fraud,Geo Anomaly,53.0,60798.61,Closed - Explained,0,2026-02
FCA00076,CUST10948,2026-05-06,Transaction Monitoring,Rapid Movement,43.0,29326.43,Closed - Explained,0,2026-05
FCA00077,CUST10500,2026-09-26,Transaction Monitoring,High-Risk Wire,47.0,4608.16,Closed - Explained,0,2026-09
FCA00078,CUST10685,2026-05-24,Sanctions,High-Risk Geography,47.0,48177.78,Closed - Explained,0,2026-05
FCA00079,CUST10353,2026-03-18,Fraud,Account Takeover,76.0,32318.57,Escalated,1,2026-03
FCA00080,CUST10578,2026-08-13,Transaction Monitoring,Unusual Volume,31.0,42721.03,Closed - Explained,0,2026-08
FCA00081,CUST10323,2026-09-16,KYC/EDD,Adverse Media,30.0,30694.73,Closed - Explained,0,2026-09
FCA00082,CUST10463,2026-05-15,Transaction Monitoring,Rapid Movement,32.0,295766.07,Closed - Explained,0,2026-05
FCA00083,CUST10071,2026-06-14,Transaction Monitoring,Unusual Volume,45.0,81316.99,Closed - Explained,0,2026-06
FCA00084,CUST10253,2026-02-08,KYC/EDD,PEP Exposure,71.0,23164.62,Escalated,1,2026-02
FCA00085,CUST10510,2026-05-30,Transaction Monitoring,Unusual Volume,66.0,26235.95,Closed - Explained,0,2026-05
FCA00086,CUST10768,2026-05-12,Fraud,Velocity Spike,80.0,16575.52,Escalated,1,2026-05
FCA00087,CUST10036,2026-03-30,KYC/EDD,Adverse Media,70.0,46861.35,Closed - Explained,0,2026-03
FCA00088,CUST10029,2026-01-07,KYC/EDD,KYC Refresh,52.0,29417.78,Closed - Explained,0,2026-01
FCA00089,CUST10381,2026-01-28,Transaction Monitoring,Rapid Movement,61.0,79367.7,Escalated,1,2026-01
FCA00090,CUST10936,2026-05-09,KYC/EDD,PEP Exposure,66.0,64443.47,Closed - Explained,0,2026-05
FCA00091,CUST10641,2026-04-02,KYC/EDD,Source of Funds,35.0,63378.99,Closed - Explained,0,2026-04
FCA00092,CUST11079,2026-07-20,Transaction Monitoring,Rapid Movement,42.0,39017.73,Closed - Explained,0,2026-07
FCA00093,CUST10042,2026-03-02,Sanctions,Name Match,78.0,36081.36,Closed - Explained,0,2026-03
FCA00094,CUST10835,2026-06-02,Fraud,Velocity Spike,99.0,28102.86,Escalated,1,2026-06
FCA00095,CUST10440,2026-02-07,Transaction Monitoring,Unusual Volume,65.0,2966.24,Escalated,1,2026-02
FCA00096,CUST10924,2026-08-23,Fraud,Velocity Spike,93.0,64957.61,Escalated,1,2026-08
FCA00097,CUST10051,2026-03-06,Transaction Monitoring,Unusual Volume,49.0,29843.75,Closed - Explained,0,2026-03
FCA00098,CUST10933,2026-07-03,Sanctions,Watchlist Exposure,64.0,17712.06,Closed - Explained,0,2026-07
FCA00099,CUST10805,2026-09-13,Transaction Monitoring,Unusual Volume,67.0,62953.91,Escalated,1,2026-09
FCA00100,CUST10069,2026-01-03,Fraud,Account Takeover,49.0,9946.89,Closed - Explained,0,2026-01
FCA00101,CUST10629,2026-05-01,KYC/EDD,Adverse Media,79.0,11851.62,Closed - Explained,0,2026-05
FCA00102,CUST11184,2026-09-08,Transaction Monitoring,Rapid Movement,52.0,424357.59,Closed - Explained,0,2026-09
FCA00103,CUST10972,2026-03-10,Fraud,Velocity Spike,100.0,38797.16,Escalated,1,2026-03
FCA00104,CUST11152,2026-08-27,KYC/EDD,PEP Exposure,94.0,48125.64,Closed - Explained,0,2026-08
FCA00105,CUST10947,2026-05-11,Fraud,Account Takeover,47.0,18705.16,Closed - Explained,0,2026-05
FCA00106,CUST10749,2026-01-26,Sanctions,Name Match,53.0,51268.22,Closed - Explained,0,2026-01
FCA00107,CUST10498,2026-02-06,Transaction Monitoring,Structuring,5.0,67101.98,Closed - Explained,0,2026-02
FCA00108,CUST10272,2026-08-04,Transaction Monitoring,Unusual Volume,50.0,7541.45,Closed - Explained,0,2026-08
FCA00109,CUST10689,2026-06-07,Transaction Monitoring,High-Risk Wire,60.0,11098.72,Closed - Explained,0,2026-06
FCA00110,CUST11022,2026-03-29,Transaction Monitoring,Rapid Movement,59.0,7040.56,Closed - Explained,0,2026-03
FCA00111,CUST10496,2026-01-31,Fraud,Velocity Spike,48.0,19738.59,Closed - Explained,0,2026-01
FCA00112,CUST10861,2026-01-20,Fraud,Geo Anomaly,38.0,51870.53,Closed - Explained,0,2026-01
FCA00113,CUST10905,2026-05-09,Sanctions,Name Match,61.0,23443.63,Escalated,1,2026-05
FCA00114,CUST10911,2026-03-05,Transaction Monitoring,Rapid Movement,95.0,18633.62,Escalated,1,2026-03
FCA00115,CUST10653,2026-03-03,Transaction Monitoring,Unusual Volume,44.0,81896.52,Closed - Explained,0,2026-03
FCA00116,CUST10321,2026-03-31,Fraud,Account Takeover,58.0,6876.36,Closed - Explained,0,2026-03
FCA00117,CUST11181,2026-09-21,Transaction Monitoring,Rapid Movement,47.0,20038.2,Escalated,1,2026-09
FCA00118,CUST11123,2026-02-15,Transaction Monitoring,Structuring,32.0,7215.69,Closed - Explained,0,2026-02
FCA00119,CUST10708,2026-05-13,Transaction Monitoring,High-Risk Wire,52.0,65574.41,Closed - Explained,0,2026-05
FCA00120,CUST10302,2026-06-12,Transaction Monitoring,Unusual Volume,93.0,21677.7,Escalated,1,2026-06
FCA00121,CUST10780,2026-05-27,Fraud,Velocity Spike,65.0,113047.67,Closed - Explained,0,2026-05
FCA00122,CUST10795,2026-05-25,Transaction Monitoring,Structuring,51.0,38403.14,Closed - Explained,0,2026-05
FCA00123,CUST10637,2026-06-09,Fraud,Suspicious Merchant,34.0,50019.48,Closed - Explained,0,2026-06
FCA00124,CUST11070,2026-02-28,Fraud,Velocity Spike,73.0,44045.77,Escalated,1,2026-02
FCA00125,CUST10421,2026-06-21,Fraud,Velocity Spike,63.0,13799.63,Closed - Explained,0,2026-06
FCA00126,CUST10628,2026-07-13,Fraud,Velocity Spike,80.0,112694.24,Escalated,1,2026-07
FCA00127,CUST10012,2026-05-13,Fraud,Suspicious Merchant,57.0,72112.08,Escalated,1,2026-05
FCA00128,CUST10442,2026-05-18,Fraud,Geo Anomaly,67.0,4140.48,Closed - Explained,0,2026-05
FCA00129,CUST11110,2026-05-10,Fraud,Suspicious Merchant,46.0,10012.97,Closed - Explained,0,2026-05
FCA00130,CUST10952,2026-01-21,Transaction Monitoring,Unusual Volume,56.0,19005.33,Closed - Explained,0,2026-01
FCA00131,CUST10155,2026-03-15,Sanctions,Watchlist Exposure,54.0,207503.67,Escalated,1,2026-03
FCA00132,CUST10855,2026-01-26,Transaction Monitoring,Structuring,37.0,16839.01,Closed - Explained,0,2026-01
FCA00133,CUST10255,2026-02-13,KYC/EDD,PEP Exposure,47.0,49218.12,Closed - Explained,0,2026-02
FCA00134,CUST10033,2026-06-07,Transaction Monitoring,Unusual Volume,86.0,16684.69,Escalated,1,2026-06
FCA00135,CUST10981,2026-08-06,Transaction Monitoring,Structuring,67.0,6703.5,Closed - Explained,0,2026-08
FCA00136,CUST10056,2026-03-01,Sanctions,High-Risk Geography,53.0,23805.2,Escalated,1,2026-03
FCA00137,CUST10064,2026-05-05,Fraud,Velocity Spike,77.0,7225.82,Closed - Explained,0,2026-05
FCA00138,CUST10166,2026-04-19,Transaction Monitoring,Structuring,90.0,61840.81,Escalated,1,2026-04
FCA00139,CUST10256,2026-08-11,Transaction Monitoring,Rapid Movement,61.0,94468.01,Closed - Explained,0,2026-08
FCA00140,CUST10007,2026-07-12,KYC/EDD,PEP Exposure,33.0,65462.59,Closed - Explained,0,2026-07
FCA00141,CUST10915,2026-06-25,KYC/EDD,Source of Funds,47.0,26926.71,Closed - Explained,0,2026-06
FCA00142,CUST10270,2026-05-17,KYC/EDD,KYC Refresh,58.0,66394.56,Closed - Explained,0,2026-05
FCA00143,CUST10298,2026-05-18,Fraud,Velocity Spike,60.0,10206.63,Escalated,1,2026-05
FCA00144,CUST10949,2026-06-25,Transaction Monitoring,Unusual Volume,91.0,17584.29,Closed - Explained,0,2026-06
FCA00145,CUST10836,2026-01-18,Sanctions,High-Risk Geography,34.0,78194.32,Closed - Explained,0,2026-01
FCA00146,CUST10924,2026-03-26,Fraud,Account Takeover,21.0,12393.41,Closed - Explained,0,2026-03
FCA00147,CUST11002,2026-03-10,Transaction Monitoring,Unusual Volume,66.0,6578.13,Escalated,1,2026-03
FCA00148,CUST10993,2026-07-28,Transaction Monitoring,Unusual Volume,52.0,60744.51,Closed - Explained,0,2026-07
FCA00149,CUST10986,2026-07-23,Sanctions,Watchlist Exposure,60.0,19968.58,Escalated,1,2026-07
FCA00150,CUST10755,2026-05-25,Fraud,Geo Anomaly,82.0,20028.52,Closed - Explained,0,2026-05
FCA00151,CUST10076,2026-01-21,KYC/EDD,KYC Refresh,61.0,6983.88,Closed - Explained,0,2026-01
FCA00152,CUST10799,2026-09-23,Fraud,Velocity Spike,88.0,21747.04,Escalated,1,2026-09
FCA00153,CUST10317,2026-08-24,Transaction Monitoring,Rapid Movement,33.0,21613.28,Closed - Explained,0,2026-08
FCA00154,CUST11007,2026-05-05,KYC/EDD,Adverse Media,69.0,18928.85,Closed - Explained,0,2026-05
FCA00155,CUST10276,2026-05-15,Sanctions,High-Risk Geography,54.0,11433.92,Closed - Explained,0,2026-05
FCA00156,CUST11122,2026-03-21,KYC/EDD,Source of Funds,49.0,28538.85,Escalated,1,2026-03
FCA00157,CUST10902,2026-08-03,Fraud,Suspicious Merchant,68.0,20458.25,Escalated,1,2026-08
FCA00158,CUST11181,2026-07-26,Transaction Monitoring,Structuring,50.0,6517.97,Closed - Explained,0,2026-07
FCA00159,CUST10267,2026-07-05,Sanctions,Name Match,46.0,29568.2,Closed - Explained,0,2026-07
FCA00160,CUST10298,2026-02-01,Fraud,Suspicious Merchant,84.0,50901.79,Escalated,1,2026-02
FCA00161,CUST11051,2026-05-10,Transaction Monitoring,Structuring,73.0,228290.28,Closed - Explained,0,2026-05
FCA00162,CUST10300,2026-08-23,Transaction Monitoring,High-Risk Wire,53.0,38712.95,Closed - Explained,0,2026-08
FCA00163,CUST11003,2026-02-26,Transaction Monitoring,High-Risk Wire,65.0,35276.34,Closed - Explained,0,2026-02
FCA00164,CUST10449,2026-09-06,Transaction Monitoring,Rapid Movement,31.0,1827.1,Closed - Explained,0,2026-09
FCA00165,CUST11066,2026-06-11,Fraud,Account Takeover,62.0,117727.76,Closed - Explained,0,2026-06
FCA00166,CUST10148,2026-01-06,Transaction Monitoring,Structuring,82.0,22401.46,Escalated,1,2026-01
FCA00167,CUST10889,2026-07-06,Transaction Monitoring,High-Risk Wire,44.0,41721.07,Closed - Explained,0,2026-07
FCA00168,CUST11161,2026-07-15,Transaction Monitoring,Rapid Movement,72.0,5956.63,Closed - Explained,0,2026-07
FCA00169,CUST10200,2026-01-07,KYC/EDD,Adverse Media,45.0,14379.79,Closed - Explained,0,2026-01
FCA00170,CUST10694,2026-09-28,Transaction Monitoring,Unusual Volume,67.0,8188.05,Escalated,1,2026-09
FCA00171,CUST10530,2026-06-22,KYC/EDD,Source of Funds,47.0,71220.29,Closed - Explained,0,2026-06
FCA00172,CUST10552,2026-09-05,Fraud,Account Takeover,75.0,53671.97,Closed - Explained,0,2026-09
FCA00173,CUST11060,2026-05-24,Transaction Monitoring,Structuring,34.0,48038.64,Escalated,1,2026-05
FCA00174,CUST10517,2026-06-26,Sanctions,Watchlist Exposure,72.0,20605.92,Escalated,1,2026-06
FCA00175,CUST10943,2026-04-19,Transaction Monitoring,Rapid Movement,51.0,17699.75,Closed - Explained,0,2026-04
FCA00176,CUST10787,2026-02-20,KYC/EDD,PEP Exposure,76.0,2307.53,Escalated,1,2026-02
FCA00177,CUST10447,2026-03-14,KYC/EDD,Source of Funds,27.0,47460.79,Escalated,1,2026-03
FCA00178,CUST10409,2026-02-07,Fraud,Velocity Spike,69.0,18544.56,Escalated,1,2026-02
FCA00179,CUST10709,2026-03-04,Fraud,Account Takeover,73.0,68100.64,Closed - Explained,0,2026-03
FCA00180,CUST10921,2026-06-04,Transaction Monitoring,Unusual Volume,66.0,53023.42,Closed - Explained,0,2026-06
FCA00181,CUST10695,2026-07-28,Transaction Monitoring,High-Risk Wire,58.0,19950.58,Closed - Explained,0,2026-07
FCA00182,CUST10679,2026-05-20,Fraud,Suspicious Merchant,39.0,32116.14,Escalated,1,2026-05
FCA00183,CUST10448,2026-05-08,Fraud,Geo Anomaly,65.0,48442.7,Closed - Explained,0,2026-05
FCA00184,CUST11016,2026-09-07,KYC/EDD,Source of Funds,93.0,18301.27,Closed - Explained,0,2026-09
FCA00185,CUST10079,2026-06-26,Fraud,Account Takeover,71.0,5960.73,Escalated,1,2026-06
FCA00186,CUST10184,2026-09-21,Transaction Monitoring,High-Risk Wire,56.0,44632.84,Closed - Explained,0,2026-09
FCA00187,CUST10879,2026-03-16,Fraud,Suspicious Merchant,98.0,81826.32,Escalated,1,2026-03
FCA00188,CUST11196,2026-04-07,Fraud,Velocity Spike,67.0,40691.17,Escalated,1,2026-04
FCA00189,CUST10077,2026-02-15,Transaction Monitoring,Structuring,38.0,23675.42,Closed - Explained,0,2026-02
FCA00190,CUST11042,2026-03-14,Transaction Monitoring,Unusual Volume,54.0,48440.15,Closed - Explained,0,2026-03
FCA00191,CUST10750,2026-01-28,Fraud,Velocity Spike,60.0,15323.96,Escalated,1,2026-01
FCA00192,CUST10387,2026-08-27,Transaction Monitoring,Structuring,61.0,28883.71,Escalated,1,2026-08
FCA00193,CUST11071,2026-02-01,Sanctions,Name Match,21.0,207068.26,Closed - Explained,0,2026-02
FCA00194,CUST11137,2026-08-16,Fraud,Geo Anomaly,56.0,18602.69,Escalated,1,2026-08
FCA00195,CUST10426,2026-09-30,Transaction Monitoring,Rapid Movement,99.0,12931.65,Closed - Explained,0,2026-09
FCA00196,CUST11154,2026-02-04,Fraud,Account Takeover,98.0,32568.23,Escalated,1,2026-02
FCA00197,CUST10880,2026-02-23,KYC/EDD,Source of Funds,42.0,32121.87,Closed - Explained,0,2026-02
FCA00198,CUST10846,2026-05-13,Fraud,Suspicious Merchant,13.0,21180.28,Closed - Explained,0,2026-05
FCA00199,CUST10774,2026-09-16,KYC/EDD,Source of Funds,80.0,11065.0,Escalated,1,2026-09
FCA00200,CUST10031,2026-07-17,Fraud,Velocity Spike,58.0,127232.18,Closed - Explained,0,2026-07
FCA00201,CUST10756,2026-07-21,KYC/EDD,Source of Funds,91.0,60897.75,Closed - Explained,0,2026-07
FCA00202,CUST10315,2026-05-01,Sanctions,Watchlist Exposure,27.0,63465.78,Closed - Explained,0,2026-05
FCA00203,CUST10654,2026-08-13,Sanctions,High-Risk Geography,57.0,24518.32,Closed - Explained,0,2026-08
FCA00204,CUST11188,2026-07-01,Fraud,Suspicious Merchant,57.0,14379.21,Closed - Explained,0,2026-07
FCA00205,CUST10451,2026-01-03,Transaction Monitoring,Unusual Volume,29.0,15210.13,Closed - Explained,0,2026-01
FCA00206,CUST10664,2026-06-13,Transaction Monitoring,Rapid Movement,97.0,53042.69,Escalated,1,2026-06
FCA00207,CUST10386,2026-07-04,Transaction Monitoring,High-Risk Wire,84.0,14504.29,Closed - Explained,0,2026-07
FCA00208,CUST10076,2026-06-18,KYC/EDD,Source of Funds,51.0,55498.52,Closed - Explained,0,2026-06
FCA00209,CUST10102,2026-02-04,Sanctions,Name Match,76.0,6498.09,Closed - Explained,0,2026-02
FCA00210,CUST10888,2026-03-13,Transaction Monitoring,Unusual Volume,70.0,87066.68,Escalated,1,2026-03
FCA00211,CUST10398,2026-04-23,Sanctions,High-Risk Geography,41.0,13014.36,Closed - Explained,0,2026-04
FCA00212,CUST10258,2026-04-10,KYC/EDD,PEP Exposure,71.0,79870.59,Closed - Explained,0,2026-04
FCA00213,CUST10304,2026-06-03,Transaction Monitoring,High-Risk Wire,82.0,32042.7,Escalated,1,2026-06
FCA00214,CUST11064,2026-05-04,Transaction Monitoring,Unusual Volume,91.0,70253.65,Escalated,1,2026-05
FCA00215,CUST10216,2026-04-25,Fraud,Suspicious Merchant,29.0,20091.21,Closed - Explained,0,2026-04
FCA00216,CUST10688,2026-02-27,Sanctions,Name Match,79.0,67687.81,Escalated,1,2026-02
FCA00217,CUST11132,2026-01-31,KYC/EDD,KYC Refresh,55.0,21361.76,Escalated,1,2026-01
FCA00218,CUST10579,2026-09-13,Transaction Monitoring,Unusual Volume,54.0,145249.72,Escalated,1,2026-09
FCA00219,CUST10366,2026-08-12,Transaction Monitoring,Structuring,64.0,31574.53,Escalated,1,2026-08
FCA00220,CUST10344,2026-04-04,KYC/EDD,Adverse Media,40.0,35880.38,Closed - Explained,0,2026-04
FCA00221,CUST10544,2026-07-07,Sanctions,Watchlist Exposure,31.0,11485.92,Escalated,1,2026-07
FCA00222,CUST10041,2026-07-02,Transaction Monitoring,High-Risk Wire,36.0,1329.62,Closed - Explained,0,2026-07
FCA00223,CUST10162,2026-01-01,Fraud,Velocity Spike,35.0,6154.25,Closed - Explained,0,2026-01
FCA00224,CUST10824,2026-08-18,Fraud,Velocity Spike,85.0,27590.85,Escalated,1,2026-08
FCA00225,CUST11110,2026-04-22,Fraud,Suspicious Merchant,48.0,34581.06,Escalated,1,2026-04
FCA00226,CUST10759,2026-04-21,Transaction Monitoring,Structuring,54.0,14297.97,Escalated,1,2026-04
FCA00227,CUST10873,2026-05-10,Transaction Monitoring,Unusual Volume,82.0,72804.38,Escalated,1,2026-05
FCA00228,CUST10383,2026-06-18,KYC/EDD,Adverse Media,51.0,19893.94,Closed - Explained,0,2026-06
FCA00229,CUST11004,2026-07-14,Transaction Monitoring,Unusual Volume,90.0,4180.09,Escalated,1,2026-07
FCA00230,CUST10189,2026-07-14,Transaction Monitoring,Unusual Volume,44.0,16569.73,Closed - Explained,0,2026-07
FCA00231,CUST10711,2026-05-04,Transaction Monitoring,Unusual Volume,60.0,6773.94,Escalated,1,2026-05
FCA00232,CUST10988,2026-08-08,Transaction Monitoring,Structuring,49.0,65815.1,Closed - Explained,0,2026-08
FCA00233,CUST11008,2026-08-09,Transaction Monitoring,Structuring,54.0,57783.13,Closed - Explained,0,2026-08
FCA00234,CUST10787,2026-05-10,Sanctions,Watchlist Exposure,63.0,68442.52,Escalated,1,2026-05
FCA00235,CUST10416,2026-02-09,Transaction Monitoring,Unusual Volume,57.0,6193.36,Closed - Explained,0,2026-02
FCA00236,CUST10646,2026-07-19,Transaction Monitoring,Structuring,94.0,72503.12,Escalated,1,2026-07
FCA00237,CUST10518,2026-03-05,Transaction Monitoring,High-Risk Wire,53.0,4695.77,Closed - Explained,0,2026-03
FCA00238,CUST10077,2026-04-21,Transaction Monitoring,Unusual Volume,53.0,62899.77,Closed - Explained,0,2026-04
FCA00239,CUST10468,2026-06-12,KYC/EDD,PEP Exposure,76.0,114833.23,Closed - Explained,0,2026-06
FCA00240,CUST11059,2026-05-13,KYC/EDD,Source of Funds,55.0,102771.6,Closed - Explained,0,2026-05
