case_id,alert_id,customer_id,risk_category,case_risk_score,case_age_days,case_status
CASE0071,FCA01507,CUST10979,Transaction Monitoring,73.0,26,Closed
CASE0072,FCA00952,CUST10125,Fraud,3.0,12,In Review
CASE0073,FCA00447,CUST11039,Fraud,39.0,8,Closed
CASE0074,FCA01203,CUST10512,Transaction Monitoring,72.0,15,In Review
CASE0075,FCA00945,CUST10706,Transaction Monitoring,77.0,18,Closed
CASE0076,FCA01702,CUST10471,Sanctions,66.0,27,Closed
CASE0077,FCA00406,CUST11056,KYC/EDD,99.0,38,Open
CASE0078,FCA00376,CUST10164,KYC/EDD,70.0,18,In Review
CASE0079,FCA00971,CUST10535,Transaction Monitoring,79.0,23,Closed
CASE0080,FCA00943,CUST10651,Fraud,55.0,16,In Review
CASE0081,FCA01275,CUST10371,Fraud,61.0,26,Closed
CASE0082,FCA01184,CUST10300,KYC/EDD,80.0,29,Escalated
CASE0083,FCA01706,CUST10681,Fraud,59.0,19,Closed
CASE0084,FCA01268,CUST10798,Transaction Monitoring,77.0,10,In Review
CASE0085,FCA01375,CUST10143,Sanctions,81.0,31,In Review
CASE0086,FCA00019,CUST10617,Transaction Monitoring,69.0,25,In Review
CASE0087,FCA00983,CUST11101,Transaction Monitoring,90.0,25,Open
CASE0088,FCA01020,CUST10313,KYC/EDD,68.0,26,Closed
CASE0089,FCA00330,CUST10758,KYC/EDD,82.0,39,In Review
CASE0090,FCA00783,CUST10510,Transaction Monitoring,70.0,27,In Review
CASE0091,FCA00378,CUST10198,Transaction Monitoring,82.0,37,In Review
CASE0092,FCA01242,CUST10039,Fraud,81.0,11,In Review
CASE0093,FCA00604,CUST10882,Transaction Monitoring,64.0,5,Closed
CASE0094,FCA00984,CUST10178,KYC/EDD,76.0,2,Open
CASE0095,FCA00491,CUST10674,KYC/EDD,71.0,37,Closed
CASE0096,FCA00663,CUST10945,Transaction Monitoring,96.0,13,Closed
CASE0097,FCA00582,CUST11087,Transaction Monitoring,58.0,37,Closed
CASE0098,FCA01624,CUST10594,KYC/EDD,80.0,10,Closed
CASE0099,FCA00242,CUST10766,KYC/EDD,99.0,30,In Review
CASE0100,FCA00455,CUST10993,Fraud,22.0,29,In Review
CASE0101,FCA01400,CUST10558,Sanctions,70.0,15,Escalated
CASE0102,FCA01313,CUST10739,Fraud,67.0,14,Closed
CASE0103,FCA01561,CUST10888,Fraud,77.0,14,Escalated
CASE0104,FCA00464,CUST10947,Transaction Monitoring,75.0,7,In Review
CASE0105,FCA01792,CUST10963,Transaction Monitoring,24.0,29,In Review
CASE0106,FCA00888,CUST10292,Fraud,24.0,33,Escalated
CASE0107,FCA00363,CUST10133,Sanctions,80.0,24,Closed
CASE0108,FCA00611,CUST11068,Transaction Monitoring,93.0,6,In Review
CASE0109,FCA00682,CUST10469,Fraud,32.0,29,In Review
CASE0110,FCA00869,CUST11184,Sanctions,41.0,35,Closed
CASE0111,FCA01645,CUST10645,Transaction Monitoring,55.0,15,Closed
CASE0112,FCA00711,CUST10788,Transaction Monitoring,58.0,36,In Review
CASE0113,FCA01530,CUST10253,Transaction Monitoring,68.0,3,Closed
CASE0114,FCA00006,CUST10546,Sanctions,57.0,16,Open
CASE0115,FCA01491,CUST10031,Transaction Monitoring,64.0,37,Open
CASE0116,FCA00576,CUST10499,KYC/EDD,100.0,9,In Review
CASE0117,FCA01585,CUST10444,KYC/EDD,73.0,28,Closed
CASE0118,FCA01232,CUST10735,Sanctions,82.0,25,Escalated
CASE0119,FCA01556,CUST10047,Fraud,11.0,14,Closed
CASE0120,FCA00647,CUST10835,Fraud,78.0,3,In Review
CASE0121,FCA00426,CUST10195,Fraud,84.0,35,In Review
CASE0122,FCA00608,CUST10452,Transaction Monitoring,24.0,27,In Review
CASE0123,FCA00152,CUST10799,Fraud,85.0,1,Open
CASE0124,FCA01454,CUST10477,Transaction Monitoring,33.0,21,Closed
CASE0125,FCA00730,CUST10225,Sanctions,68.0,28,Closed
CASE0126,FCA01789,CUST11141,Transaction Monitoring,77.0,17,Closed
CASE0127,FCA00418,CUST11137,Fraud,33.0,29,Open
CASE0128,FCA00858,CUST10492,Transaction Monitoring,87.0,19,Closed
CASE0129,FCA00973,CUST10621,Transaction Monitoring,67.0,16,In Review
CASE0130,FCA00892,CUST10004,Sanctions,55.0,39,Closed
CASE0131,FCA00442,CUST11168,Transaction Monitoring,88.0,14,Open
CASE0132,FCA01621,CUST10994,Transaction Monitoring,81.0,17,Escalated
CASE0133,FCA01212,CUST10146,Fraud,80.0,27,Open
CASE0134,FCA00428,CUST10526,Sanctions,68.0,36,In Review
CASE0135,FCA00798,CUST10100,KYC/EDD,88.0,20,Open
CASE0136,FCA01297,CUST10565,Sanctions,54.0,26,In Review
CASE0137,FCA01027,CUST11118,KYC/EDD,60.0,26,Open
CASE0138,FCA01373,CUST10420,Fraud,88.0,18,Open
CASE0139,FCA01246,CUST10646,Fraud,68.0,25,In Review
CASE0140,FCA00656,CUST10081,KYC/EDD,73.0,9,Escalated
CASE0141,FCA01504,CUST11002,KYC/EDD,94.0,26,Open
CASE0142,FCA00782,CUST10538,Transaction Monitoring,65.0,19,Closed
CASE0143,FCA01490,CUST10938,Fraud,70.0,26,In Review
CASE0144,FCA01144,CUST11068,Fraud,72.0,13,In Review
CASE0145,FCA00615,CUST10577,Transaction Monitoring,88.0,30,Open
CASE0146,FCA00478,CUST10513,Transaction Monitoring,95.0,38,In Review
CASE0147,FCA00949,CUST10655,Sanctions,73.0,10,Closed
CASE0148,FCA00452,CUST10602,Transaction Monitoring,61.0,30,In Review
CASE0149,FCA01097,CUST10802,Sanctions,58.0,26,Escalated
CASE0150,FCA01536,CUST11071,Fraud,68.0,18,Closed
CASE0151,FCA00134,CUST10033,Transaction Monitoring,89.0,19,Closed
CASE0152,FCA00375,CUST11016,KYC/EDD,68.0,27,Open
CASE0153,FCA01453,CUST10350,Fraud,84.0,4,In Review
CASE0154,FCA00852,CUST10119,Fraud,71.0,40,Closed
CASE0155,FCA01389,CUST10031,Fraud,19.0,32,Closed
CASE0156,FCA01714,CUST10750,KYC/EDD,51.0,30,Escalated
CASE0157,FCA00039,CUST10454,Fraud,74.0,23,Escalated
CASE0158,FCA01701,CUST11119,Fraud,80.0,16,Open
CASE0159,FCA00787,CUST10534,Fraud,83.0,18,Closed
CASE0160,FCA01569,CUST10933,Sanctions,51.0,18,Closed
CASE0161,FCA01790,CUST10805,Transaction Monitoring,71.0,20,Closed
CASE0162,FCA01301,CUST10960,Transaction Monitoring,100.0,11,Closed
CASE0163,FCA01093,CUST11132,KYC/EDD,92.0,22,In Review
CASE0164,FCA00131,CUST10155,Sanctions,57.0,33,In Review
CASE0165,FCA00170,CUST10694,Transaction Monitoring,62.0,5,Closed
CASE0166,FCA00003,CUST10455,KYC/EDD,78.0,35,Open
CASE0167,FCA00883,CUST10170,Sanctions,69.0,16,In Review
CASE0168,FCA00285,CUST11010,Fraud,5.0,18,Escalated
CASE0169,FCA01078,CUST11140,Fraud,82.0,24,In Review
CASE0170,FCA00878,CUST10906,Transaction Monitoring,77.0,20,In Review
CASE0171,FCA01150,CUST10663,Transaction Monitoring,71.0,8,In Review
CASE0172,FCA00390,CUST10714,KYC/EDD,73.0,8,Open
CASE0173,FCA01392,CUST10264,Transaction Monitoring,72.0,9,In Review
CASE0174,FCA01025,CUST10519,Transaction Monitoring,75.0,35,In Review
CASE0175,FCA01644,CUST10575,Fraud,60.0,20,Closed
CASE0176,FCA00176,CUST10787,KYC/EDD,79.0,3,Open
CASE0177,FCA00185,CUST10079,Fraud,73.0,2,Escalated
CASE0178,FCA01069,CUST10407,KYC/EDD,80.0,8,In Review
CASE0179,FCA00840,CUST10326,KYC/EDD,37.0,30,In Review
CASE0180,FCA01464,CUST10068,Sanctions,100.0,35,Escalated
CASE0181,FCA01583,CUST10006,Transaction Monitoring,69.0,20,Closed
CASE0182,FCA01642,CUST10173,Transaction Monitoring,83.0,12,Closed
CASE0183,FCA01414,CUST10957,Fraud,100.0,7,Closed
CASE0184,FCA00882,CUST10688,KYC/EDD,96.0,18,Closed
CASE0185,FCA00643,CUST10830,Sanctions,72.0,33,Closed
CASE0186,FCA00060,CUST10383,Fraud,17.0,11,Escalated
CASE0187,FCA01697,CUST10191,Sanctions,65.0,32,Escalated
CASE0188,FCA01759,CUST10165,Fraud,74.0,19,In Review
CASE0189,FCA01346,CUST10466,Fraud,93.0,4,Open
CASE0190,FCA01654,CUST11044,Fraud,74.0,30,Escalated
CASE0191,FCA01100,CUST11135,Transaction Monitoring,61.0,27,In Review
CASE0192,FCA01688,CUST10452,Sanctions,82.0,36,Open
CASE0193,FCA01679,CUST11142,KYC/EDD,93.0,7,Closed
CASE0194,FCA00797,CUST10924,Fraud,87.0,20,Closed
CASE0195,FCA01527,CUST10575,Fraud,63.0,27,In Review
CASE0196,FCA00095,CUST10440,Transaction Monitoring,74.0,28,Closed
CASE0197,FCA00299,CUST10335,Fraud,92.0,9,In Review
CASE0198,FCA00173,CUST11060,Transaction Monitoring,41.0,10,In Review
CASE0199,FCA00786,CUST10912,KYC/EDD,67.0,38,Closed
CASE0200,FCA01181,CUST11064,Transaction Monitoring,75.0,19,In Review
CASE0201,FCA01381,CUST11195,Transaction Monitoring,69.0,24,Escalated
CASE0202,FCA00936,CUST10736,Fraud,98.0,5,In Review
CASE0203,FCA01008,CUST10252,Transaction Monitoring,29.0,8,In Review
CASE0204,FCA00716,CUST10941,KYC/EDD,76.0,8,In Review
CASE0205,FCA01046,CUST10494,Transaction Monitoring,87.0,17,Escalated
CASE0206,FCA01799,CUST10238,KYC/EDD,81.0,3,In Review
CASE0207,FCA01708,CUST10265,Transaction Monitoring,92.0,28,Closed
CASE0208,FCA00037,CUST10111,Transaction Monitoring,59.0,34,In Review
CASE0209,FCA00727,CUST10996,Fraud,56.0,7,Open
CASE0210,FCA00156,CUST11122,KYC/EDD,50.0,30,In Review
CASE0211,FCA01127,CUST10084,Transaction Monitoring,97.0,8,Escalated
CASE0212,FCA00260,CUST10002,Transaction Monitoring,70.0,1,In Review
CASE0213,FCA01606,CUST10612,Transaction Monitoring,81.0,8,Closed
CASE0214,FCA00174,CUST10517,Sanctions,75.0,31,Open
CASE0215,FCA01382,CUST10865,Transaction Monitoring,47.0,4,In Review
CASE0216,FCA01081,CUST10757,Sanctions,63.0,16,Open
CASE0217,FCA00776,CUST10398,Transaction Monitoring,69.0,13,In Review
CASE0218,FCA01429,CUST11105,Transaction Monitoring,76.0,26,In Review
CASE0219,FCA00120,CUST10302,Transaction Monitoring,100.0,5,Closed
CASE0220,FCA00506,CUST10905,Sanctions,75.0,5,In Review
CASE0221,FCA00246,CUST10335,Transaction Monitoring,42.0,35,Closed
CASE0222,FCA01496,CUST10350,KYC/EDD,100.0,3,In Review
CASE0223,FCA00509,CUST11045,Sanctions,41.0,30,Open
CASE0224,FCA00072,CUST10603,Transaction Monitoring,68.0,27,Open
CASE0225,FCA01723,CUST11186,Sanctions,77.0,20,Escalated
CASE0226,FCA01581,CUST10393,Transaction Monitoring,82.0,28,In Review
CASE0227,FCA00048,CUST10887,Sanctions,59.0,18,Escalated
CASE0228,FCA01794,CUST10178,Transaction Monitoring,58.0,7,Closed
CASE0229,FCA00377,CUST10252,Fraud,93.0,19,Escalated
CASE0230,FCA01166,CUST10616,Transaction Monitoring,51.0,12,Closed
CASE0231,FCA00894,CUST10141,Sanctions,76.0,29,Closed
CASE0232,FCA00226,CUST10759,Transaction Monitoring,54.0,40,Closed
CASE0233,FCA00653,CUST10200,Fraud,80.0,8,Closed
CASE0234,FCA00259,CUST10371,Transaction Monitoring,78.0,20,Open
CASE0235,FCA01117,CUST11153,Sanctions,100.0,24,Closed
CASE0236,FCA01154,CUST10847,KYC/EDD,84.0,21,In Review
CASE0237,FCA00149,CUST10986,Sanctions,64.0,32,In Review
CASE0238,FCA00380,CUST10836,Transaction Monitoring,73.0,36,Closed
CASE0239,FCA01735,CUST10695,KYC/EDD,69.0,23,Closed
CASE0240,FCA00431,CUST10709,Fraud,82.0,20,Closed
CASE0241,FCA00801,CUST10770,Transaction Monitoring,55.0,23,In Review
CASE0242,FCA00816,CUST10001,Transaction Monitoring,67.0,28,Closed
CASE0243,FCA00427,CUST10611,Fraud,48.0,24,Open
CASE0244,FCA01571,CUST10744,Transaction Monitoring,73.0,28,Open
CASE0245,FCA00329,CUST10542,KYC/EDD,88.0,10,Closed
CASE0246,FCA00336,CUST10659,Fraud,61.0,18,In Review
CASE0247,FCA01752,CUST10156,Transaction Monitoring,60.0,6,Closed
CASE0248,FCA00854,CUST11151,Sanctions,60.0,16,Closed
CASE0249,FCA00930,CUST10973,Transaction Monitoring,64.0,18,Closed
CASE0250,FCA00231,CUST10711,Transaction Monitoring,59.0,24,Escalated
CASE0251,FCA01452,CUST10417,Sanctions,57.0,20,Closed
CASE0252,FCA00099,CUST10805,Transaction Monitoring,75.0,6,In Review
CASE0253,FCA00822,CUST11045,Sanctions,53.0,16,In Review
CASE0254,FCA00429,CUST10773,Transaction Monitoring,75.0,4,In Review
CASE0255,FCA00689,CUST11156,KYC/EDD,63.0,25,Closed
CASE0256,FCA00182,CUST10679,Fraud,44.0,27,In Review
CASE0257,FCA00871,CUST10278,Transaction Monitoring,80.0,28,Open
CASE0258,FCA00813,CUST10849,Transaction Monitoring,60.0,9,In Review
CASE0259,FCA00865,CUST10637,Transaction Monitoring,74.0,36,In Review
CASE0260,FCA00424,CUST10129,Fraud,34.0,33,Closed
CASE0261,FCA01167,CUST10453,Transaction Monitoring,72.0,19,In Review
CASE0262,FCA00734,CUST10796,Sanctions,34.0,13,Open
CASE0263,FCA01095,CUST10975,KYC/EDD,86.0,27,In Review
CASE0264,FCA00264,CUST10782,Transaction Monitoring,74.0,30,Closed
CASE0265,FCA01323,CUST11079,Transaction Monitoring,71.0,14,Open
CASE0266,FCA00985,CUST10297,Transaction Monitoring,77.0,27,Escalated
CASE0267,FCA01506,CUST10308,Fraud,88.0,9,Closed
CASE0268,FCA00558,CUST11053,Sanctions,81.0,8,Escalated
CASE0269,FCA00261,CUST10548,Transaction Monitoring,50.0,25,Closed
CASE0270,FCA01732,CUST10545,Fraud,70.0,40,Open
CASE0271,FCA00629,CUST10389,Transaction Monitoring,55.0,16,Escalated
CASE0272,FCA00467,CUST10741,KYC/EDD,100.0,9,Closed
CASE0273,FCA01517,CUST10665,Sanctions,34.0,4,Open
CASE0274,FCA00997,CUST10503,KYC/EDD,73.0,38,Open
CASE0275,FCA01415,CUST10414,Fraud,73.0,22,Escalated
CASE0276,FCA00631,CUST10066,Sanctions,70.0,17,In Review
CASE0277,FCA01335,CUST10288,Transaction Monitoring,82.0,17,Closed
CASE0278,FCA01480,CUST10048,Transaction Monitoring,89.0,26,Closed
CASE0279,FCA00257,CUST10586,Sanctions,63.0,38,Open
CASE0280,FCA00650,CUST10137,Fraud,81.0,10,Closed
CASE0281,FCA01601,CUST10240,Sanctions,90.0,19,Closed
CASE0282,FCA00982,CUST10586,Transaction Monitoring,100.0,18,Closed
CASE0283,FCA01791,CUST10765,KYC/EDD,58.0,6,Closed
CASE0284,FCA01134,CUST10786,Sanctions,90.0,23,Open
CASE0285,FCA01483,CUST10726,Transaction Monitoring,32.0,17,Escalated
CASE0286,FCA01402,CUST10082,Fraud,58.0,4,In Review
CASE0287,FCA01754,CUST10319,Transaction Monitoring,80.0,22,Closed
CASE0288,FCA00887,CUST10913,Transaction Monitoring,68.0,4,In Review
CASE0289,FCA00086,CUST10768,Fraud,89.0,1,In Review
CASE0290,FCA00177,CUST10447,KYC/EDD,28.0,5,Escalated
CASE0291,FCA00089,CUST10381,Transaction Monitoring,60.0,35,Closed
CASE0292,FCA00769,CUST10964,Sanctions,46.0,25,In Review
CASE0293,FCA01743,CUST11191,Transaction Monitoring,69.0,15,Closed
CASE0294,FCA01011,CUST11019,Transaction Monitoring,62.0,35,Escalated
CASE0295,FCA00194,CUST11137,Fraud,62.0,35,In Review
CASE0296,FCA00436,CUST10515,Transaction Monitoring,82.0,13,Closed
CASE0297,FCA00281,CUST10466,Fraud,53.0,21,In Review
CASE0298,FCA00853,CUST10136,Transaction Monitoring,32.0,27,Closed
CASE0299,FCA00374,CUST10398,Sanctions,66.0,10,In Review
CASE0300,FCA00693,CUST10525,Transaction Monitoring,77.0,8,In Review
CASE0301,FCA00035,CUST10298,Transaction Monitoring,100.0,27,In Review
CASE0302,FCA01004,CUST10104,Transaction Monitoring,53.0,21,In Review
CASE0303,FCA00191,CUST10750,Fraud,64.0,2,In Review
CASE0304,FCA01071,CUST10942,KYC/EDD,97.0,39,Open
CASE0305,FCA00103,CUST10972,Fraud,100.0,29,Closed
CASE0306,FCA00229,CUST11004,Transaction Monitoring,87.0,23,In Review
CASE0307,FCA01586,CUST10833,Transaction Monitoring,66.0,22,Escalated
CASE0308,FCA01123,CUST10817,Sanctions,89.0,4,Escalated
CASE0309,FCA01510,CUST11046,Sanctions,80.0,13,Escalated
CASE0310,FCA00025,CUST10624,Sanctions,57.0,23,Open
CASE0311,FCA01324,CUST10175,Fraud,66.0,35,In Review
CASE0312,FCA01365,CUST10638,Fraud,25.0,24,Open
CASE0313,FCA00621,CUST10185,KYC/EDD,100.0,7,Open
CASE0314,FCA00227,CUST10873,Transaction Monitoring,84.0,30,Closed
CASE0315,FCA00394,CUST10953,Transaction Monitoring,91.0,9,In Review
CASE0316,FCA00528,CUST10800,KYC/EDD,55.0,18,Escalated
CASE0317,FCA00923,CUST10973,Transaction Monitoring,67.0,13,In Review
CASE0318,FCA00262,CUST10027,Transaction Monitoring,69.0,7,In Review
CASE0319,FCA01101,CUST10350,KYC/EDD,33.0,32,Closed
CASE0320,FCA00850,CUST10421,Sanctions,57.0,12,Closed
CASE0321,FCA01397,CUST10542,Sanctions,89.0,13,Open
CASE0322,FCA00875,CUST10359,KYC/EDD,47.0,29,Escalated
CASE0323,FCA00765,CUST10216,KYC/EDD,79.0,33,In Review
CASE0324,FCA00362,CUST10022,Fraud,73.0,9,Escalated
CASE0325,FCA01783,CUST10973,Fraud,74.0,22,Escalated
CASE0326,FCA00386,CUST10084,Transaction Monitoring,97.0,22,Escalated
CASE0327,FCA01562,CUST11166,Transaction Monitoring,48.0,30,Closed
CASE0328,FCA01546,CUST11097,Fraud,37.0,22,In Review
CASE0329,FCA00422,CUST10311,Transaction Monitoring,61.0,9,Open
CASE0330,FCA01528,CUST10907,Sanctions,87.0,40,In Review
CASE0331,FCA00433,CUST11104,Sanctions,89.0,21,In Review
CASE0332,FCA00071,CUST10624,Sanctions,74.0,22,In Review
CASE0333,FCA00094,CUST10835,Fraud,100.0,25,In Review
CASE0334,FCA01406,CUST10030,Transaction Monitoring,77.0,3,Escalated
CASE0335,FCA00272,CUST10361,KYC/EDD,61.0,32,Closed
CASE0336,FCA01632,CUST10432,Sanctions,73.0,36,In Review
CASE0337,FCA00708,CUST11072,Transaction Monitoring,64.0,22,Escalated
CASE0338,FCA00487,CUST10270,Sanctions,70.0,39,Escalated
CASE0339,FCA01608,CUST10004,Transaction Monitoring,60.0,16,Open
CASE0340,FCA01526,CUST11177,Sanctions,99.0,8,In Review
CASE0341,FCA01649,CUST11137,Transaction Monitoring,68.0,37,In Review
CASE0342,FCA01209,CUST10908,Fraud,68.0,8,Open
CASE0343,FCA01146,CUST10400,Fraud,46.0,1,In Review
CASE0344,FCA00459,CUST10291,Transaction Monitoring,72.0,30,Escalated
CASE0345,FCA01637,CUST10727,Transaction Monitoring,92.0,3,In Review
CASE0346,FCA00881,CUST10538,Fraud,64.0,22,Closed
CASE0347,FCA00722,CUST11100,Transaction Monitoring,85.0,36,Open
CASE0348,FCA01033,CUST10602,Transaction Monitoring,90.0,18,Open
CASE0349,FCA00014,CUST11046,Transaction Monitoring,94.0,34,In Review
CASE0350,FCA01455,CUST10148,Transaction Monitoring,71.0,29,Escalated
CASE0351,FCA01564,CUST10717,Fraud,78.0,20,Closed
CASE0352,FCA00767,CUST10258,Transaction Monitoring,92.0,15,Closed
CASE0353,FCA00096,CUST10924,Fraud,92.0,25,Escalated
CASE0354,FCA01226,CUST10905,Fraud,74.0,31,In Review
CASE0355,FCA00032,CUST11097,Sanctions,68.0,23,In Review
CASE0356,FCA00327,CUST10546,Transaction Monitoring,82.0,32,Closed
CASE0357,FCA00430,CUST10833,Sanctions,71.0,10,Closed
CASE0358,FCA01055,CUST10342,Fraud,33.0,9,In Review
CASE0359,FCA01287,CUST10059,Transaction Monitoring,51.0,40,Closed
CASE0360,FCA00126,CUST10628,Fraud,78.0,37,Open
CASE0361,FCA01638,CUST11069,Fraud,85.0,17,In Review
CASE0362,FCA00483,CUST11189,Sanctions,93.0,9,Open
CASE0363,FCA00791,CUST10386,Transaction Monitoring,66.0,38,In Review
CASE0364,FCA00293,CUST10045,Transaction Monitoring,78.0,12,Open
CASE0365,FCA00812,CUST10988,Transaction Monitoring,80.0,11,Closed
CASE0366,FCA01196,CUST10633,Transaction Monitoring,67.0,27,In Review
CASE0367,FCA00673,CUST10228,KYC/EDD,93.0,22,In Review
CASE0368,FCA01191,CUST10850,Transaction Monitoring,54.0,7,Open
CASE0369,FCA00472,CUST10407,Transaction Monitoring,68.0,17,Closed
CASE0370,FCA01775,CUST10414,Fraud,56.0,17,Closed
CASE0371,FCA00021,CUST10553,Transaction Monitoring,79.0,23,Open
CASE0372,FCA01295,CUST11149,KYC/EDD,78.0,19,Closed
CASE0373,FCA01364,CUST10093,Transaction Monitoring,80.0,20,Open
CASE0374,FCA00521,CUST10076,Transaction Monitoring,46.0,20,In Review
CASE0375,FCA01060,CUST10741,Transaction Monitoring,43.0,6,Open
CASE0376,FCA01022,CUST10273,Sanctions,86.0,28,In Review
CASE0377,FCA00578,CUST10969,Fraud,53.0,31,Open
CASE0378,FCA01694,CUST10787,Fraud,72.0,7,Closed
CASE0379,FCA00890,CUST11005,Fraud,66.0,29,Closed
CASE0380,FCA00300,CUST10410,Transaction Monitoring,56.0,4,Closed
CASE0381,FCA00147,CUST11002,Transaction Monitoring,75.0,31,Open
CASE0382,FCA00551,CUST10708,Sanctions,69.0,12,Closed
CASE0383,FCA00192,CUST10387,Transaction Monitoring,66.0,28,Open
CASE0384,FCA00753,CUST11081,Sanctions,64.0,33,In Review
CASE0385,FCA01438,CUST10083,Transaction Monitoring,74.0,8,In Review
CASE0386,FCA01461,CUST10712,Sanctions,80.0,3,Closed
CASE0387,FCA01474,CUST11184,Transaction Monitoring,71.0,19,Closed
CASE0388,FCA00279,CUST10874,Sanctions,65.0,4,Closed
CASE0389,FCA00750,CUST10643,Transaction Monitoring,39.0,22,Escalated
