transaction_id,customer_id,transaction_date,channel,direction,amount,counterparty_id,counterparty_country,high_risk_geo_flag
TX500049,CUST10189,2026-05-23,P2P,Credit,300.94,CP05507,United States,0
TX500050,CUST10324,2026-06-05,ACH,Debit,4885.81,CP06146,Nigeria,1
TX500051,CUST10456,2026-01-04,Check,Credit,8152.59,CP03562,United Kingdom,0
TX500052,CUST10804,2026-06-23,P2P,Debit,9236.68,CP00763,United Arab Emirates,1
TX500053,CUST10814,2026-03-22,P2P,Credit,10306.15,CP01253,Nigeria,1
TX500054,CUST10228,2026-03-28,Cash,Debit,12847.71,CP01158,China,0
TX500055,CUST10112,2026-04-08,Check,Debit,6046.56,CP03724,Russia,1
TX500056,CUST10271,2026-08-28,Wire,Debit,25971.48,CP02422,China,0
TX500057,CUST10932,2026-04-07,Card,Debit,31116.16,CP06312,United Kingdom,0
TX500058,CUST10364,2026-02-16,Wire,Debit,11629.67,CP04401,India,0
TX500059,CUST10394,2026-01-29,Card,Debit,17376.74,CP04094,Russia,1
TX500060,CUST10568,2026-08-04,P2P,Credit,8888.2,CP05612,Mexico,0
TX500061,CUST10634,2026-08-05,Wire,Debit,11981.54,CP00095,Canada,0
TX500062,CUST10330,2026-09-16,Card,Debit,20193.83,CP04221,Mexico,0
TX500063,CUST10474,2026-03-22,Cash,Debit,6734.52,CP05308,United States,0
TX500064,CUST10156,2026-06-01,Wire,Credit,1782.02,CP04674,United Kingdom,0
TX500065,CUST10640,2026-02-07,P2P,Debit,3661.59,CP02672,India,0
TX500066,CUST10321,2026-08-11,Check,Debit,7218.44,CP03242,United States,0
TX500067,CUST10792,2026-06-02,Card,Debit,4831.27,CP05547,China,0
TX500068,CUST11182,2026-08-05,Cash,Debit,28991.95,CP04350,United States,0
TX500069,CUST10563,2026-06-19,Cash,Debit,11706.72,CP01452,Turkey,1
TX500070,CUST10898,2026-09-27,Cash,Credit,3583.81,CP00007,Nigeria,1
TX500071,CUST10400,2026-05-16,Card,Credit,1100.32,CP01067,Canada,0
TX500072,CUST10204,2026-01-14,Card,Credit,20238.89,CP04627,United States,0
TX500073,CUST10494,2026-04-28,ACH,Debit,8309.2,CP00303,China,0
TX500074,CUST10389,2026-09-22,ACH,Debit,3146.24,CP00507,Russia,1
TX500075,CUST10834,2026-02-11,Card,Debit,11128.74,CP05732,Mexico,0
TX500076,CUST10892,2026-09-20,Card,Debit,3475.49,CP00410,Russia,1
TX500077,CUST10071,2026-02-05,P2P,Credit,3766.72,CP02375,China,0
TX500078,CUST10626,2026-03-15,Check,Debit,20483.51,CP04956,Turkey,1
TX500079,CUST10868,2026-06-14,Card,Debit,9163.13,CP00123,United Kingdom,0
TX500080,CUST10046,2026-02-26,P2P,Credit,1632.45,CP01789,Canada,0
TX500081,CUST10046,2026-01-13,Card,Debit,2899.21,CP00337,India,0
TX500082,CUST10930,2026-09-20,Card,Credit,3780.22,CP02134,Nigeria,1
TX500083,CUST10010,2026-08-07,P2P,Credit,4818.13,CP02017,Mexico,0
TX500084,CUST11043,2026-04-27,Card,Credit,1305.47,CP02788,Canada,0
TX500085,CUST10626,2026-06-02,Wire,Debit,1238.16,CP00626,China,0
TX500086,CUST11100,2026-04-22,Card,Debit,6376.83,CP03971,United States,0
TX500087,CUST10392,2026-04-20,ACH,Debit,7141.78,CP02921,Russia,1
TX500088,CUST10208,2026-08-18,ACH,Debit,18073.96,CP02123,Canada,0
TX500089,CUST11072,2026-03-22,ACH,Credit,793.58,CP05872,Mexico,0
TX500090,CUST10298,2026-01-02,ACH,Debit,9240.54,CP00017,India,0
TX500091,CUST11027,2026-04-28,P2P,Debit,2498.57,CP04800,United States,0
TX500092,CUST10936,2026-07-11,ACH,Debit,5215.12,CP00779,Russia,1
TX500093,CUST10801,2026-02-19,Check,Debit,3558.61,CP04655,China,0
TX500094,CUST11127,2026-08-13,Cash,Debit,4233.04,CP05427,United Arab Emirates,1
TX500095,CUST10285,2026-02-28,Check,Debit,7793.35,CP05395,United Kingdom,0
TX500096,CUST10659,2026-08-16,P2P,Credit,4086.65,CP03554,United Arab Emirates,1
TX500097,CUST11009,2026-09-06,ACH,Credit,30093.24,CP05403,Turkey,1
TX500098,CUST10506,2026-04-11,Cash,Credit,49226.06,CP00039,Turkey,1
TX500099,CUST10298,2026-04-29,P2P,Debit,31198.96,CP00294,Russia,1
TX500100,CUST10614,2026-03-04,Check,Credit,8630.88,CP01311,China,0
TX500101,CUST11186,2026-07-07,P2P,Credit,6976.3,CP01161,United Kingdom,0
TX500102,CUST10160,2026-02-16,Cash,Credit,5182.64,CP03770,Turkey,1
TX500103,CUST10190,2026-09-13,Card,Debit,8464.86,CP05637,United States,0
TX500104,CUST11177,2026-01-06,Card,Credit,4098.68,CP06199,Russia,1
TX500105,CUST10900,2026-04-03,ACH,Debit,8660.71,CP06343,Mexico,0
TX500106,CUST10551,2026-08-28,P2P,Debit,1871.98,CP02600,China,0
TX500107,CUST10288,2026-09-19,P2P,Credit,3988.38,CP05096,China,0
TX500108,CUST10596,2026-09-11,ACH,Credit,7404.04,CP04533,China,0
TX500109,CUST10225,2026-09-03,Cash,Credit,6399.64,CP05781,Russia,1
TX500110,CUST10602,2026-05-07,ACH,Debit,10046.91,CP00053,Nigeria,1
TX500111,CUST10897,2026-01-18,Wire,Credit,1673.85,CP01928,Nigeria,1
TX500112,CUST10237,2026-07-27,ACH,Credit,10906.55,CP04145,United Kingdom,0
TX500113,CUST10674,2026-03-25,Wire,Debit,4979.45,CP05655,India,0
TX500114,CUST10072,2026-05-29,Cash,Debit,4275.67,CP01494,Russia,1
TX500115,CUST10655,2026-07-18,Card,Debit,10024.08,CP05438,Canada,0
TX500116,CUST10945,2026-02-12,Wire,Credit,7154.6,CP03032,Nigeria,1
TX500117,CUST10114,2026-03-17,Wire,Debit,6283.0,CP04674,Mexico,0
TX500118,CUST11190,2026-09-28,ACH,Debit,739.09,CP04762,Mexico,0
TX500119,CUST10239,2026-05-25,P2P,Credit,5956.16,CP02665,India,0
TX500120,CUST10960,2026-09-29,Card,Debit,20858.43,CP05534,Mexico,0
TX500121,CUST10042,2026-06-05,Wire,Debit,2598.99,CP01013,Mexico,0
TX500122,CUST10400,2026-09-01,Cash,Credit,17330.7,CP02917,Turkey,1
TX500123,CUST11092,2026-08-14,ACH,Debit,4882.57,CP06235,China,0
TX500124,CUST11150,2026-05-14,P2P,Credit,183934.91,CP05696,Canada,0
TX500125,CUST11102,2026-03-31,Wire,Debit,10051.72,CP04846,China,0
TX500126,CUST11029,2026-08-23,Cash,Credit,11172.61,CP01572,Canada,0
TX500127,CUST10912,2026-03-17,Card,Debit,13454.0,CP01505,Canada,0
TX500128,CUST11057,2026-04-01,Wire,Debit,6470.03,CP03972,United Arab Emirates,1
TX500129,CUST10668,2026-08-09,Card,Credit,12947.26,CP05925,Nigeria,1
TX500130,CUST10742,2026-01-25,ACH,Credit,11110.41,CP01220,Nigeria,1
TX500131,CUST10699,2026-05-09,P2P,Credit,16380.9,CP01173,United Kingdom,0
TX500132,CUST10359,2026-05-21,ACH,Debit,2224.87,CP05098,China,0
TX500133,CUST10182,2026-03-12,Wire,Credit,12245.76,CP04049,China,0
TX500134,CUST11109,2026-02-09,Cash,Credit,6462.87,CP02935,United Kingdom,0
TX500135,CUST10390,2026-09-16,ACH,Credit,7536.66,CP06484,Nigeria,1
TX500136,CUST11031,2026-01-26,Wire,Debit,33737.45,CP04886,Turkey,1
TX500137,CUST10766,2026-04-15,Check,Credit,1283.03,CP01324,China,0
TX500138,CUST10538,2026-07-15,ACH,Credit,16870.84,CP00203,Turkey,1
TX500139,CUST10464,2026-05-04,ACH,Debit,23492.35,CP05452,United States,0
TX500140,CUST11070,2026-06-29,Cash,Debit,841.67,CP01262,Russia,1
TX500141,CUST10347,2026-05-21,Check,Credit,4402.45,CP04957,Turkey,1
TX500142,CUST10284,2026-03-04,P2P,Credit,2870.7,CP06430,United Kingdom,0
TX500143,CUST10922,2026-02-28,Cash,Credit,32150.57,CP04997,Nigeria,1
TX500144,CUST10771,2026-03-27,Card,Debit,2279.1,CP00898,Nigeria,1
TX500145,CUST10533,2026-02-24,Card,Debit,15585.83,CP00222,United Kingdom,0
TX500146,CUST10680,2026-01-08,Cash,Credit,7646.11,CP06482,Russia,1
TX500147,CUST10465,2026-03-29,Card,Debit,3071.37,CP04013,Canada,0
TX500148,CUST10341,2026-06-07,Wire,Credit,3398.15,CP02208,United Arab Emirates,1
TX500149,CUST10568,2026-05-20,ACH,Debit,8111.08,CP02128,United Kingdom,0
TX500150,CUST10798,2026-06-01,Wire,Credit,11169.76,CP02322,United States,0
TX500151,CUST11043,2026-07-30,Card,Credit,7010.91,CP05503,United Arab Emirates,1
TX500152,CUST10902,2026-05-06,Wire,Credit,2022.72,CP04402,Canada,0
TX500153,CUST10417,2026-04-20,ACH,Credit,4178.99,CP01681,United Kingdom,0
TX500154,CUST10155,2026-03-29,Cash,Credit,1089.2,CP06271,United Kingdom,0
TX500155,CUST10414,2026-06-08,ACH,Debit,6313.2,CP03707,Mexico,0
TX500156,CUST10583,2026-07-06,ACH,Debit,22576.11,CP03207,Canada,0
TX500157,CUST10239,2026-05-04,Wire,Debit,8928.97,CP04681,Mexico,0
TX500158,CUST10033,2026-05-18,P2P,Debit,7291.63,CP01813,Russia,1
TX500159,CUST10656,2026-06-14,ACH,Debit,8701.55,CP01525,United Kingdom,0
TX500160,CUST10921,2026-04-18,Wire,Debit,53084.2,CP01436,United States,0
TX500161,CUST10990,2026-05-31,P2P,Debit,8054.77,CP03868,United Arab Emirates,1
TX500162,CUST10877,2026-03-10,Wire,Credit,1161.11,CP01540,India,0
TX500163,CUST11129,2026-09-09,Cash,Debit,2115.64,CP03825,Canada,0
TX500164,CUST11049,2026-05-12,Cash,Debit,8619.18,CP03644,United Arab Emirates,1
TX500165,CUST11005,2026-04-15,Wire,Debit,9844.03,CP00201,India,0
TX500166,CUST10086,2026-01-17,Card,Debit,3815.71,CP04923,China,0
TX500167,CUST10583,2026-07-29,Wire,Credit,2587.94,CP00909,Mexico,0
TX500168,CUST10302,2026-06-10,Cash,Credit,2211.82,CP05493,Mexico,0
TX500169,CUST10474,2026-06-13,Wire,Debit,2312.69,CP05708,Canada,0
TX500170,CUST10215,2026-09-26,P2P,Debit,1789.59,CP02149,Canada,0
TX500171,CUST10938,2026-01-24,ACH,Credit,15009.35,CP01925,United Arab Emirates,1
TX500172,CUST10419,2026-05-26,P2P,Debit,927.64,CP00305,United Kingdom,0
TX500173,CUST10672,2026-02-26,Check,Credit,13697.0,CP03407,Russia,1
TX500174,CUST10510,2026-04-03,ACH,Debit,17215.97,CP01623,Turkey,1
TX500175,CUST10927,2026-09-02,P2P,Debit,10994.02,CP04555,Canada,0
TX500176,CUST10955,2026-03-25,Cash,Credit,88907.66,CP04427,United Kingdom,0
TX500177,CUST10127,2026-07-04,Cash,Debit,2636.13,CP06045,United Arab Emirates,1
TX500178,CUST10118,2026-08-11,Check,Credit,12472.38,CP06434,Russia,1
TX500179,CUST11094,2026-06-20,P2P,Credit,4408.12,CP04188,Nigeria,1
TX500180,CUST11094,2026-02-17,P2P,Credit,23236.86,CP02832,United Kingdom,0
TX500181,CUST10152,2026-05-12,P2P,Debit,3825.11,CP02881,Russia,1
TX500182,CUST10637,2026-01-16,ACH,Credit,798.87,CP00966,United Kingdom,0
TX500183,CUST10908,2026-09-20,Check,Debit,2173.64,CP05657,Turkey,1
TX500184,CUST10586,2026-07-09,Wire,Credit,7720.23,CP04909,United Arab Emirates,1
TX500185,CUST10307,2026-06-02,Card,Credit,10194.65,CP01728,India,0
TX500186,CUST10777,2026-01-21,Cash,Debit,6498.76,CP00194,Nigeria,1
TX500187,CUST10135,2026-01-07,ACH,Debit,9893.79,CP00389,China,0
TX500188,CUST10557,2026-09-29,ACH,Credit,3638.03,CP00217,India,0
TX500189,CUST10233,2026-05-04,Check,Credit,18163.95,CP04044,Mexico,0
TX500190,CUST10129,2026-09-25,P2P,Credit,3402.54,CP06104,United States,0
TX500191,CUST10101,2026-03-25,ACH,Debit,24741.82,CP00571,India,0
TX500192,CUST10951,2026-06-24,Cash,Debit,9537.7,CP01241,Nigeria,1
TX500193,CUST10528,2026-09-11,P2P,Debit,775.91,CP04150,Russia,1
TX500194,CUST11107,2026-04-28,ACH,Credit,2690.43,CP01334,Nigeria,1
TX500195,CUST10245,2026-08-24,Wire,Credit,4276.49,CP06394,India,0
TX500196,CUST11023,2026-09-17,Wire,Debit,3323.45,CP02123,United Arab Emirates,1
TX500197,CUST11106,2026-04-18,ACH,Debit,17686.0,CP02547,United States,0
TX500198,CUST10501,2026-02-14,P2P,Credit,2855.23,CP06389,United Kingdom,0
TX500199,CUST10968,2026-06-11,Card,Credit,12189.07,CP01714,Nigeria,1
TX500200,CUST10549,2026-04-03,Card,Debit,2157.9,CP04232,China,0
TX500201,CUST10489,2026-02-20,Card,Credit,5120.19,CP02787,Canada,0
TX500202,CUST10208,2026-06-19,Wire,Debit,11060.41,CP00764,Canada,0
TX500203,CUST10420,2026-07-10,Cash,Debit,2777.77,CP03915,United Kingdom,0
TX500204,CUST10729,2026-06-05,Cash,Debit,1455.89,CP06108,Canada,0
TX500205,CUST10228,2026-01-09,ACH,Debit,10989.35,CP00389,United Kingdom,0
TX500206,CUST10150,2026-03-30,Cash,Debit,2093.33,CP01131,Canada,0
TX500207,CUST10718,2026-02-25,Card,Credit,22517.2,CP00454,China,0
TX500208,CUST10194,2026-05-28,Wire,Credit,45210.46,CP00185,China,0
TX500209,CUST10868,2026-02-04,Card,Credit,18381.08,CP04883,Canada,0
TX500210,CUST11077,2026-06-08,Card,Debit,13288.31,CP00892,China,0
TX500211,CUST11054,2026-07-13,ACH,Credit,15496.58,CP05053,United States,0
TX500212,CUST10171,2026-05-15,Check,Debit,2385.38,CP01875,Russia,1
TX500213,CUST10810,2026-04-06,Wire,Credit,23062.3,CP03514,United Kingdom,0
TX500214,CUST10228,2026-07-13,Wire,Credit,7931.95,CP02248,Mexico,0
TX500215,CUST10374,2026-01-02,ACH,Credit,15334.19,CP02948,Nigeria,1
TX500216,CUST10884,2026-03-27,Wire,Debit,1270.31,CP05871,Turkey,1
TX500217,CUST11039,2026-04-24,P2P,Debit,9194.53,CP03585,United Arab Emirates,1
TX500218,CUST11150,2026-03-16,Card,Credit,26613.41,CP03918,United States,0
TX500219,CUST10519,2026-09-13,Wire,Credit,7766.37,CP03114,Turkey,1
TX500220,CUST11013,2026-09-29,P2P,Credit,24474.03,CP03319,United States,0
TX500221,CUST10112,2026-05-01,ACH,Debit,58357.5,CP03303,China,0
TX500222,CUST10628,2026-04-07,Wire,Credit,24193.45,CP06317,Turkey,1
TX500223,CUST10268,2026-05-21,Wire,Credit,2263.2,CP04250,Canada,0
TX500224,CUST10938,2026-04-04,Card,Debit,1917.44,CP00195,Canada,0
TX500225,CUST10594,2026-06-11,ACH,Debit,6996.66,CP01548,Russia,1
TX500226,CUST10987,2026-01-13,Card,Credit,7035.69,CP00518,United States,0
TX500227,CUST10905,2026-01-14,Card,Debit,33438.3,CP04691,Canada,0
TX500228,CUST10225,2026-08-26,Card,Debit,1584.44,CP00733,United Arab Emirates,1
TX500229,CUST10517,2026-05-27,Card,Credit,3735.87,CP01002,India,0
TX500230,CUST10121,2026-02-16,ACH,Debit,1419.58,CP01481,Mexico,0
TX500231,CUST10152,2026-01-24,P2P,Credit,7543.46,CP05278,United Kingdom,0
TX500232,CUST10563,2026-07-21,Card,Credit,1389.37,CP05730,United States,0
TX500233,CUST10577,2026-02-21,ACH,Debit,6237.66,CP00854,United States,0
TX500234,CUST10166,2026-02-14,Cash,Debit,1909.38,CP04999,Mexico,0
TX500235,CUST10424,2026-05-24,P2P,Debit,9907.47,CP03292,United Arab Emirates,1
TX500236,CUST10542,2026-02-12,Wire,Credit,3220.94,CP03607,Turkey,1
TX500237,CUST11054,2026-05-07,ACH,Debit,2549.38,CP05642,Nigeria,1
TX500238,CUST10950,2026-04-06,ACH,Credit,12527.45,CP00635,Turkey,1
TX500239,CUST10561,2026-02-12,ACH,Credit,4465.94,CP04342,Mexico,0
TX500240,CUST10855,2026-04-25,Wire,Credit,5552.29,CP01243,Nigeria,1
TX500241,CUST10664,2026-06-13,Card,Credit,52609.16,CP03137,Canada,0
TX500242,CUST11159,2026-01-26,Wire,Debit,4200.67,CP06488,United States,0
TX500243,CUST10571,2026-01-22,ACH,Credit,82987.53,CP02357,Canada,0
TX500244,CUST10711,2026-04-15,Card,Credit,1388.85,CP03685,Nigeria,1
TX500245,CUST10631,2026-04-19,P2P,Debit,1676.73,CP01598,United Kingdom,0
TX500246,CUST10135,2026-04-24,Cash,Debit,8268.95,CP01295,Nigeria,1
TX500247,CUST10345,2026-01-02,Wire,Debit,4775.0,CP03227,Turkey,1
TX500248,CUST11055,2026-02-21,Wire,Credit,10917.08,CP03722,Turkey,1
TX500249,CUST11163,2026-03-12,Check,Debit,3202.27,CP01082,Canada,0
TX500250,CUST10445,2026-09-16,ACH,Credit,10243.7,CP02012,China,0
TX500251,CUST10561,2026-03-13,Card,Debit,15737.56,CP05916,China,0
TX500252,CUST10651,2026-04-22,Wire,Credit,18828.12,CP02789,Mexico,0
TX500253,CUST10765,2026-02-02,Card,Debit,2708.9,CP03021,United Arab Emirates,1
TX500254,CUST10276,2026-09-16,Wire,Credit,18550.49,CP00346,Russia,1
TX500255,CUST10716,2026-07-25,Card,Debit,4523.83,CP06017,Nigeria,1
TX500256,CUST10287,2026-05-11,Cash,Credit,2992.61,CP01078,China,0
TX500257,CUST10412,2026-05-07,Check,Credit,33367.85,CP04571,Mexico,0
TX500258,CUST11166,2026-04-18,Check,Credit,3710.41,CP00362,Nigeria,1
TX500259,CUST10139,2026-03-10,ACH,Debit,58002.17,CP01279,China,0
TX500260,CUST10306,2026-02-11,Cash,Credit,13457.17,CP02438,Nigeria,1
TX500261,CUST10693,2026-04-05,Card,Debit,2404.16,CP01127,India,0
TX500262,CUST10506,2026-06-25,Check,Credit,6265.26,CP03668,Russia,1
TX500263,CUST10007,2026-03-30,Wire,Debit,19575.38,CP04081,China,0
TX500264,CUST10581,2026-06-09,Cash,Debit,31384.83,CP00049,Nigeria,1
TX500265,CUST10728,2026-07-21,ACH,Credit,14324.05,CP02036,India,0
TX500266,CUST10703,2026-09-14,Wire,Debit,14507.02,CP02378,United Kingdom,0
TX500267,CUST10345,2026-06-28,Cash,Credit,8186.86,CP02103,Turkey,1
TX500268,CUST10371,2026-07-08,Cash,Credit,3270.81,CP01223,Mexico,0
TX500269,CUST10620,2026-01-06,ACH,Debit,1343.11,CP01246,India,0
TX500270,CUST10442,2026-07-18,Card,Debit,9580.75,CP01397,United States,0
TX500271,CUST10998,2026-01-06,ACH,Credit,8397.52,CP00544,Canada,0
TX500272,CUST10833,2026-01-24,Card,Credit,10923.95,CP03097,India,0
TX500273,CUST10882,2026-04-12,P2P,Debit,2916.9,CP05032,Russia,1
TX500274,CUST10827,2026-09-04,Wire,Debit,2326.49,CP01128,Nigeria,1
TX500275,CUST10610,2026-04-07,Cash,Debit,18728.21,CP04952,United Kingdom,0
TX500276,CUST10098,2026-01-14,P2P,Debit,9453.0,CP00648,India,0
TX500277,CUST11196,2026-04-07,ACH,Debit,15961.3,CP03310,India,0
TX500278,CUST10812,2026-05-31,Card,Debit,10635.39,CP05366,Turkey,1
TX500279,CUST11107,2026-01-23,Wire,Debit,4309.23,CP02417,United States,0
TX500280,CUST10822,2026-04-20,ACH,Debit,4124.15,CP02621,Mexico,0
TX500281,CUST10395,2026-02-17,Check,Debit,597.86,CP04427,Canada,0
TX500282,CUST10287,2026-09-16,ACH,Credit,4316.44,CP03018,Nigeria,1
TX500283,CUST11199,2026-08-30,P2P,Credit,54104.48,CP04569,China,0
TX500284,CUST10345,2026-05-21,ACH,Credit,6175.66,CP01588,Russia,1
TX500285,CUST10857,2026-02-10,Wire,Debit,10305.6,CP00529,United Arab Emirates,1
TX500286,CUST11013,2026-09-17,Cash,Debit,3259.76,CP05446,Canada,0
TX500287,CUST11004,2026-04-16,Check,Credit,3321.11,CP01769,United States,0
TX500288,CUST10655,2026-07-09,Cash,Debit,2360.02,CP01083,India,0
TX500289,CUST10342,2026-06-08,Wire,Debit,43787.72,CP05095,Nigeria,1
TX500290,CUST11060,2026-07-21,ACH,Credit,6958.42,CP05138,Turkey,1
TX500291,CUST10676,2026-06-23,ACH,Credit,7329.82,CP01276,Mexico,0
TX500292,CUST10809,2026-03-11,Card,Debit,20205.18,CP06388,United Arab Emirates,1
TX500293,CUST10145,2026-03-20,P2P,Debit,22240.41,CP01367,Nigeria,1
TX500294,CUST10948,2026-02-18,ACH,Debit,18529.74,CP02738,Canada,0
TX500295,CUST10290,2026-04-20,Card,Debit,927.53,CP05207,Turkey,1
TX500296,CUST10968,2026-05-03,Cash,Credit,23765.46,CP04553,United States,0
TX500297,CUST10376,2026-04-07,Check,Credit,48445.83,CP03084,Russia,1
TX500298,CUST11166,2026-06-08,Check,Credit,136903.37,CP04999,United Kingdom,0
TX500299,CUST10601,2026-08-16,ACH,Debit,7020.98,CP02742,India,0
TX500300,CUST10075,2026-04-24,Cash,Debit,11397.22,CP00318,Canada,0
TX500301,CUST10166,2026-08-10,Cash,Credit,24702.74,CP03647,Russia,1
TX500302,CUST10721,2026-01-04,ACH,Debit,8636.31,CP05622,United States,0
TX500303,CUST10391,2026-06-22,Card,Credit,19001.95,CP04340,Mexico,0
TX500304,CUST10406,2026-04-11,Wire,Debit,4476.5,CP01434,Russia,1
TX500305,CUST10098,2026-01-16,P2P,Credit,2519.65,CP04431,India,0
TX500306,CUST10657,2026-01-23,Cash,Debit,27821.49,CP02529,United Arab Emirates,1
TX500307,CUST10942,2026-05-16,P2P,Credit,9894.12,CP01808,United Kingdom,0
TX500308,CUST10931,2026-03-02,ACH,Credit,8448.23,CP00630,United Kingdom,0
TX500309,CUST10839,2026-06-19,P2P,Credit,21882.54,CP03153,India,0
TX500310,CUST11111,2026-06-12,Card,Credit,5125.77,CP02919,Nigeria,1
TX500311,CUST11187,2026-06-16,ACH,Credit,1788.45,CP06283,Mexico,0
TX500312,CUST10907,2026-05-10,Wire,Credit,3197.21,CP01112,China,0
TX500313,CUST10142,2026-05-21,ACH,Debit,10338.51,CP03101,Canada,0
TX500314,CUST10096,2026-04-19,ACH,Debit,26672.68,CP05804,United States,0
TX500315,CUST11197,2026-05-25,Wire,Debit,4037.58,CP00316,Mexico,0
TX500316,CUST11137,2026-02-08,Card,Credit,8923.09,CP01537,United States,0
TX500317,CUST11145,2026-05-29,Wire,Debit,2538.38,CP02767,United Arab Emirates,1
TX500318,CUST10751,2026-02-26,ACH,Credit,55024.69,CP01040,United States,0
TX500319,CUST10030,2026-04-20,P2P,Credit,9435.22,CP05377,Canada,0
TX500320,CUST10312,2026-01-03,P2P,Debit,907.99,CP05937,Mexico,0
TX500321,CUST10098,2026-03-14,P2P,Credit,11214.98,CP05563,United Arab Emirates,1
TX500322,CUST10581,2026-03-21,Card,Debit,2602.34,CP00016,Turkey,1
TX500323,CUST11042,2026-07-10,Wire,Debit,544.33,CP02708,Turkey,1
TX500324,CUST10569,2026-03-22,P2P,Debit,12065.18,CP05910,United Arab Emirates,1
TX500325,CUST10724,2026-09-01,Cash,Credit,15645.03,CP03072,India,0
TX500326,CUST10556,2026-07-13,ACH,Debit,3845.28,CP03215,Mexico,0
TX500327,CUST10278,2026-05-10,Cash,Debit,2663.08,CP03739,China,0
